,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
FO538757.3,0.003351945895701647,0.001170692266896367,0.052806202322244644,0.002898750128224492,0.016109200194478035
RP11-54O7.17,2.8929567633895203e-05,6.064963235985488e-05,0.05103577300906181,0.0012175115989521146,0.0025604069232940674
HES4,1.3332888215700223e-07,0.010122149251401424,0.3535088002681732,0.13714982569217682,0.03779977932572365
ISG15,0.391337513923645,0.7266600728034973,0.5985683798789978,0.17363911867141724,0.20752044022083282
RP11-54O7.11,0.0004456073511391878,9.595519077265635e-05,0.010187718085944653,0.015184796415269375,0.00015808695752639323
TNFRSF18,5.499238682205032e-07,0.10688266903162003,2.717730012591346e-06,0.14721523225307465,0.22879622876644135
TNFRSF4,0.16393190622329712,0.053858593106269836,5.640785821015015e-05,0.16634948551654816,0.02529018744826317
TAS1R3,0.00011112689389847219,6.775782094337046e-05,0.0006759879179298878,9.446946205571294e-05,0.0006935198325663805
MXRA8,0.009221507236361504,2.081435923173558e-05,0.000317963189445436,0.00017862979439087212,0.0001449187402613461
ATAD3C,0.018127361312508583,0.004153176210820675,0.0012662417721003294,0.0001570928725413978,0.009784319438040257
C1orf233,0.0015633992152288556,0.0026456944178789854,0.04338819906115532,5.1230916142230853e-05,0.0005691238911822438
CDK11B,0.20192570984363556,0.22464463114738464,0.2484137862920761,0.1559598594903946,0.1895189732313156
NADK,0.04484137147665024,0.1187913566827774,0.6488749384880066,0.0,0.18050062656402588
RP5-892K4.1,6.851335638202727e-05,6.381645653164014e-05,0.0014482589904218912,0.00013896917516831309,0.0003597576869651675
RP3-395M20.12,0.0806596577167511,0.22249041497707367,0.30085110664367676,0.02067551389336586,0.09452073276042938
TTC34,0.0014000252122059464,8.214967238018289e-05,0.0053613437339663506,0.00013833095727022737,0.0004087125707883388
PRDM16,4.8671783588360995e-05,5.473362034535967e-05,0.00017746064986567944,7.497506157960743e-05,0.00024023106379900128
SMIM1,0.029453784227371216,9.477171261096373e-05,0.03948065638542175,9.086140198633075e-05,0.02369018644094467
AJAP1,0.00011482272384455428,5.651009632856585e-05,0.0003428023774176836,0.00014000828377902508,0.005199768580496311
RNF207,0.006109990645200014,0.0015364395221695304,0.007169377990067005,0.0004983341787010431,0.0028390889056026936
ACOT7,0.03387238830327988,0.08075381815433502,0.055807650089263916,0.04436201974749565,0.0248518418520689
TNFRSF25,0.45001980662345886,0.06988942623138428,6.773930635972647e-06,0.17011712491512299,5.357926056603901e-06
NOL9,0.16666868329048157,0.07351694256067276,0.10840637981891632,0.06317510455846786,0.12466003000736237
KLHL21,8.317241008626297e-05,0.04448440298438072,0.20347978174686432,0.20134872198104858,0.03532707691192627
PHF13,0.04753975197672844,0.0274055078625679,0.042444437742233276,0.02526961825788021,0.0638875737786293
RP11-312B8.1,6.354407378239557e-05,8.948837785283104e-05,0.03757886588573456,7.507922418881208e-05,0.0027408862952142954
RP3-467L1.4,0.0007491364376619458,0.00064227229449898,0.0004567628784570843,0.00028743091388605535,0.0004532873281277716
TNFRSF9,1.0255791949020931e-07,0.003843280952423811,0.058199137449264526,0.07937228679656982,6.289779412327334e-05
CA6,0.018895886838436127,4.213768261251971e-05,0.000514756131451577,0.0006449063075706363,0.0002843885449692607
SLC2A5,4.653575160773471e-05,3.900742740370333e-05,0.00032523865229450166,6.348516762955114e-05,0.06854958087205887
GPR157,0.000584936875384301,0.0013066515093669295,0.06268121302127838,0.0034531415440142155,0.04338553175330162
SPSB1,0.0008259298629127443,0.0,0.10326382517814636,0.08400184661149979,0.0016843609046190977
PIK3CD-AS1,0.00017623219173401594,0.0001689885393716395,0.02436457760632038,6.430850771721452e-05,0.003069707890972495
RBP7,9.53274934545334e-07,0.0,0.629898726940155,2.4620197791591636e-07,1.2157062201367808e-06
PGD,0.17923089861869812,0.14899443089962006,0.807000994682312,0.09960926324129105,0.13967368006706238
APITD1,0.0024431589990854263,0.001059072557836771,0.003709446871653199,0.010496777482330799,0.006096709985285997
SRM,0.15668433904647827,0.13020820915699005,0.1806420087814331,0.08726173639297485,0.17701658606529236
PTCHD2,0.00021967662905808538,0.00016072305152192712,0.00018389063188806176,0.0003693531616590917,0.0003196135221514851
FBXO2,0.003445099573582411,0.04886439070105553,0.00041594068170525134,2.7647394745144993e-05,0.02457619644701481
