pattern,rank,gene,weight
Pattern1,1,EEF1A1,6.528972625732422
Pattern1,2,RPS12,6.108968257904053
Pattern1,3,MALAT1,5.925898551940918
Pattern1,4,RPS8,5.484667778015137
Pattern1,5,B2M,5.227620601654053
Pattern1,6,MT-CO2,4.935661315917969
Pattern1,7,TMSB4X,4.831369400024414
Pattern1,8,MT-ATP6,4.724140167236328
Pattern1,9,RPLP0,4.587646484375
Pattern1,10,MT-ND3,4.523828029632568
Pattern1,11,MT-CO3,4.523655414581299
Pattern1,12,TMSB10,4.51192569732666
Pattern1,13,MT-CO1,4.40278434753418
Pattern1,14,RPS2,4.393101692199707
Pattern1,15,MT-CYB,4.253538608551025
Pattern1,16,HLA-B,4.249274253845215
Pattern1,17,MT-ND4L,4.239212989807129
Pattern1,18,HLA-A,4.022988796234131
Pattern1,19,PTMA,3.5992815494537354
Pattern1,20,MT-ND1,3.406825542449951
Pattern1,21,ACTB,3.209394693374634
Pattern1,22,AC090498.1,3.1554300785064697
Pattern1,23,MT-ND4,3.0492992401123047
Pattern1,24,FTH1,3.02761173248291
Pattern1,25,LTB,2.795513153076172
Pattern1,26,CD3E,2.724409580230713
Pattern1,27,VIM,2.6484906673431396
Pattern1,28,FTL,2.5469930171966553
Pattern1,29,LDHB,2.5232231616973877
Pattern1,30,PPIA,2.4888319969177246
Pattern1,31,MTRNR2L12,2.4841582775115967
Pattern1,32,CD52,2.483544111251831
Pattern1,33,IL7R,2.425161838531494
Pattern1,34,PFN1,2.379305601119995
Pattern1,35,IFITM1,2.2208638191223145
Pattern1,36,ACTG1,2.1264781951904297
Pattern1,37,H3F3A,2.102339267730713
Pattern1,38,MT-ND2,2.096879482269287
Pattern1,39,UBC,1.9160199165344238
Pattern1,40,ZFP36L2,1.8909014463424683
Pattern1,41,ITM2B,1.888270616531372
Pattern1,42,JUNB,1.880746841430664
Pattern1,43,GIMAP7,1.7906955480575562
Pattern1,44,CD37,1.7515451908111572
Pattern1,45,CORO1A,1.722010612487793
Pattern1,46,SH3BGRL3,1.7118713855743408
Pattern1,47,CD3D,1.6585286855697632
Pattern1,48,IL32,1.6311571598052979
Pattern1,49,PNRC1,1.5909910202026367
Pattern1,50,TSC22D3,1.566054344177246
Pattern2,1,B2M,6.607639312744141
Pattern2,2,HLA-B,5.92503023147583
Pattern2,3,ACTB,5.8673834800720215
Pattern2,4,EEF1A1,5.674992561340332
Pattern2,5,HLA-A,5.670817852020264
Pattern2,6,TMSB4X,5.658506393432617
Pattern2,7,MT-CO2,5.493821144104004
Pattern2,8,MALAT1,5.4445013999938965
Pattern2,9,NKG7,5.408262729644775
Pattern2,10,PFN1,5.279489040374756
Pattern2,11,MT-CO1,5.2541608810424805
Pattern2,12,MT-ATP6,5.1897664070129395
Pattern2,13,RPS12,4.8924431800842285
Pattern2,14,TMSB10,4.850890159606934
Pattern2,15,MT-CO3,4.620922088623047
Pattern2,16,MT-ND3,4.395266056060791
Pattern2,17,SH3BGRL3,4.3902482986450195
Pattern2,18,IFITM1,4.358858585357666
Pattern2,19,MT-ND4L,4.315532684326172
Pattern2,20,S100A4,4.172524452209473
Pattern2,21,MT-CYB,4.10084342956543
Pattern2,22,CCL5,4.067449569702148
Pattern2,23,RPS8,4.051097869873047
Pattern2,24,CST7,3.8432629108428955
Pattern2,25,MYL12A,3.5361602306365967
Pattern2,26,MT-ND1,3.441685676574707
Pattern2,27,RPLP0,3.419762134552002
Pattern2,28,HCST,3.3685460090637207
Pattern2,29,H3F3B,3.3217966556549072
Pattern2,30,PTMA,3.3164947032928467
Pattern2,31,RPS2,3.2556779384613037
Pattern2,32,MT-ND4,3.1841940879821777
Pattern2,33,IFITM2,3.1419403553009033
Pattern2,34,MTRNR2L12,3.1381185054779053
Pattern2,35,FTL,3.124987840652466
Pattern2,36,PPIA,3.065706253051758
Pattern2,37,CYBA,3.037207841873169
Pattern2,38,IL32,3.0159192085266113
Pattern2,39,ACTG1,3.0015146732330322
