"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"FO538757.3",0.00335194589570165,0.00117069226689637,0.0528062023222446,0.00289875012822449,0.016109200194478
"RP11-54O7.17",2.89295676338952e-05,6.06496323598549e-05,0.0510357730090618,0.00121751159895211,0.00256040692329407
"HES4",1.33328882157002e-07,0.0101221492514014,0.353508800268173,0.137149825692177,0.0377997793257236
"ISG15",0.391337513923645,0.726660072803497,0.598568379878998,0.173639118671417,0.207520440220833
"RP11-54O7.11",0.000445607351139188,9.59551907726564e-05,0.0101877180859447,0.0151847964152694,0.000158086957526393
"TNFRSF18",5.49923868220503e-07,0.10688266903162,2.71773001259135e-06,0.147215232253075,0.228796228766441
"TNFRSF4",0.163931906223297,0.0538585931062698,5.64078582101502e-05,0.166349485516548,0.0252901874482632
"TAS1R3",0.000111126893898472,6.77578209433705e-05,0.000675987917929888,9.44694620557129e-05,0.000693519832566381
"MXRA8",0.0092215072363615,2.08143592317356e-05,0.000317963189445436,0.000178629794390872,0.000144918740261346
"ATAD3C",0.0181273613125086,0.00415317621082067,0.00126624177210033,0.000157092872541398,0.00978431943804026
"C1orf233",0.00156339921522886,0.00264569441787899,0.0433881990611553,5.12309161422309e-05,0.000569123891182244
"CDK11B",0.201925709843636,0.224644631147385,0.248413786292076,0.155959859490395,0.189518973231316
"NADK",0.0448413714766502,0.118791356682777,0.648874938488007,0,0.180500626564026
"RP5-892K4.1",6.85133563820273e-05,6.38164565316401e-05,0.00144825899042189,0.000138969175168313,0.000359757686965168
"RP3-395M20.12",0.0806596577167511,0.222490414977074,0.300851106643677,0.0206755138933659,0.0945207327604294
"TTC34",0.00140002521220595,8.21496723801829e-05,0.00536134373396635,0.000138330957270227,0.000408712570788339
"PRDM16",4.8671783588361e-05,5.47336203453597e-05,0.000177460649865679,7.49750615796074e-05,0.000240231063799001
"SMIM1",0.0294537842273712,9.47717126109637e-05,0.0394806563854218,9.08614019863307e-05,0.0236901864409447
"AJAP1",0.000114822723844554,5.65100963285659e-05,0.000342802377417684,0.000140008283779025,0.00519976858049631
"RNF207",0.00610999064520001,0.00153643952216953,0.00716937799006701,0.000498334178701043,0.00283908890560269
"ACOT7",0.0338723883032799,0.080753818154335,0.0558076500892639,0.0443620197474957,0.0248518418520689
"TNFRSF25",0.450019806623459,0.0698894262313843,6.77393063597265e-06,0.170117124915123,5.3579260566039e-06
"NOL9",0.166668683290482,0.0735169425606728,0.108406379818916,0.0631751045584679,0.124660030007362
"KLHL21",8.3172410086263e-05,0.0444844029843807,0.203479781746864,0.201348721981049,0.0353270769119263
"PHF13",0.0475397519767284,0.0274055078625679,0.0424444377422333,0.0252696182578802,0.0638875737786293
