"pattern","rank","gene","weight"
"Pattern1",1,"EEF1A1",6.52897262573242
"Pattern1",2,"RPS12",6.10896825790405
"Pattern1",3,"MALAT1",5.92589855194092
"Pattern1",4,"RPS8",5.48466777801514
"Pattern1",5,"B2M",5.22762060165405
"Pattern1",6,"MT-CO2",4.93566131591797
"Pattern1",7,"TMSB4X",4.83136940002441
"Pattern1",8,"MT-ATP6",4.72414016723633
"Pattern1",9,"RPLP0",4.587646484375
"Pattern1",10,"MT-ND3",4.52382802963257
"Pattern1",11,"MT-CO3",4.5236554145813
"Pattern1",12,"TMSB10",4.51192569732666
"Pattern1",13,"MT-CO1",4.40278434753418
"Pattern1",14,"RPS2",4.39310169219971
"Pattern1",15,"MT-CYB",4.25353860855103
"Pattern1",16,"HLA-B",4.24927425384521
"Pattern1",17,"MT-ND4L",4.23921298980713
"Pattern1",18,"HLA-A",4.02298879623413
"Pattern1",19,"PTMA",3.59928154945374
"Pattern1",20,"MT-ND1",3.40682554244995
"Pattern1",21,"ACTB",3.20939469337463
"Pattern1",22,"AC090498.1",3.15543007850647
"Pattern1",23,"MT-ND4",3.0492992401123
"Pattern1",24,"FTH1",3.02761173248291
"Pattern1",25,"LTB",2.79551315307617
"Pattern1",26,"CD3E",2.72440958023071
"Pattern1",27,"VIM",2.64849066734314
"Pattern1",28,"FTL",2.54699301719666
"Pattern1",29,"LDHB",2.52322316169739
"Pattern1",30,"PPIA",2.48883199691772
"Pattern1",31,"MTRNR2L12",2.4841582775116
"Pattern1",32,"CD52",2.48354411125183
"Pattern1",33,"IL7R",2.42516183853149
"Pattern1",34,"PFN1",2.37930560112
"Pattern1",35,"IFITM1",2.22086381912231
"Pattern1",36,"ACTG1",2.12647819519043
"Pattern1",37,"H3F3A",2.10233926773071
"Pattern1",38,"MT-ND2",2.09687948226929
"Pattern1",39,"UBC",1.91601991653442
"Pattern1",40,"ZFP36L2",1.89090144634247
"Pattern1",41,"ITM2B",1.88827061653137
"Pattern1",42,"JUNB",1.88074684143066
"Pattern1",43,"GIMAP7",1.79069554805756
"Pattern1",44,"CD37",1.75154519081116
"Pattern1",45,"CORO1A",1.72201061248779
"Pattern1",46,"SH3BGRL3",1.71187138557434
"Pattern1",47,"CD3D",1.65852868556976
"Pattern1",48,"IL32",1.6311571598053
"Pattern1",49,"PNRC1",1.59099102020264
"Pattern1",50,"TSC22D3",1.56605434417725
"Pattern2",1,"B2M",6.60763931274414
"Pattern2",2,"HLA-B",5.92503023147583
"Pattern2",3,"ACTB",5.86738348007202
"Pattern2",4,"EEF1A1",5.67499256134033
"Pattern2",5,"HLA-A",5.67081785202026
"Pattern2",6,"TMSB4X",5.65850639343262
"Pattern2",7,"MT-CO2",5.493821144104
"Pattern2",8,"MALAT1",5.4445013999939
"Pattern2",9,"NKG7",5.40826272964478
"Pattern2",10,"PFN1",5.27948904037476
"Pattern2",11,"MT-CO1",5.25416088104248
"Pattern2",12,"MT-ATP6",5.18976640701294
"Pattern2",13,"RPS12",4.89244318008423
"Pattern2",14,"TMSB10",4.85089015960693
"Pattern2",15,"MT-CO3",4.62092208862305
"Pattern2",16,"MT-ND3",4.39526605606079
"Pattern2",17,"SH3BGRL3",4.39024829864502
"Pattern2",18,"IFITM1",4.35885858535767
"Pattern2",19,"MT-ND4L",4.31553268432617
"Pattern2",20,"S100A4",4.17252445220947
"Pattern2",21,"MT-CYB",4.10084342956543
"Pattern2",22,"CCL5",4.06744956970215
