"broad_cell_type","timepoint_merged","day_merged_numeric","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"B_cell","D0",0,0.0589371588861474,0.0244807136165542,0.0214286155642317,0.239630528190969,0.698241972351727
"B_cell","D2",2,0.0583741424549815,0.0253561306283694,0.0194240578835143,0.246518302847676,0.677850584450521
"B_cell","D4",4,0.050558198134736,0.0483660789383988,0.0189625504869622,0.213317130150058,0.653417778866632
"B_cell","D6",6,0.0671510223343334,0.0317554487990969,0.0265916121857117,0.253008999449523,0.661481345530416
"B_cell","D8",8,0.0749857310125255,0.0352237862335661,0.0205392786980516,0.255162036284403,0.616461164255937
"B_cell","D10",10,0.0500611537872111,0.0118715391371893,0.0150631547907415,0.262119118123703,0.634117291025493
"B_cell","D14/15",14.5,0.0842728037933194,0.0191492950472855,0.0194459736514259,0.276812370193936,0.675370417211367
"B_cell","D28",28,0.0605747806675129,0.0435016978369102,0.0136281254689635,0.277204050635265,0.625784505158663
"Monocyte","D0",0,0.0532083623351962,0.0202850975732959,0.673121393539689,0.25424458052744,0.0801348476761916
"Monocyte","D2",2,0.0564107463558463,0.0275635351936964,0.664411603711372,0.257355205732709,0.083707271945282
"Monocyte","D4",4,0.054762327124674,0.0464248516765981,0.661457642912865,0.216614252158425,0.111505046634448
"Monocyte","D6",6,0.076739703484126,0.0402257856345073,0.66161992168054,0.227461404624025,0.0825705897050311
"Monocyte","D8",8,0.06867989114421,0.0288964143574368,0.654352782632817,0.2108218338366,0.0899983692329937
"Monocyte","D10",10,0.0444183414218196,0.0592057988876355,0.693323028648002,0.201489025527547,0.0816971241772584
"Monocyte","D14/15",14.5,0.0606091902668276,0.0540988797773874,0.729801326990128,0.205425802801854,0.0753683588504753
"Monocyte","D28",28,0.0747702613365569,0.0453386932702462,0.643236174461353,0.233585908992472,0.112210811826481
"NK_cell","D0",0,0.141748242549949,0.459594490937889,0.012692276514566,0.239102642208258,0.0238427619894843
"NK_cell","D2",2,0.0965412306635681,0.479418334188098,0.00579371224405044,0.241793119846243,0.0239133843064285
"NK_cell","D4",4,0.12255204639398,0.524637361753334,0.00801171016431837,0.16546232008562,0.0225407895933106
"NK_cell","D6",6,0.142858155488166,0.487223672054031,0.0128339314284673,0.186204004731636,0.0214031363366457
"NK_cell","D8",8,0.163460820793236,0.569838248689969,0.0155739054816463,0.0940844619241754,0.0229656857449573
"NK_cell","D10",10,0.103815769269605,0.604714293490376,0.0259758055024516,0.143113727542193,0.0269960222216525
"NK_cell","D14/15",14.5,0.0740910676823599,0.587040324178007,0.0346641330330678,0.281196669175101,0.0222332040814375
"NK_cell","D28",28,0.149219278417049,0.490989555938626,0.00867452742139496,0.116293862589913,0.0224147379098434
"Neutrophil","D0",0,0.0234929723665118,0.000131649717028874,0.0120429400509844,0.0321009078373512,0.00645755091682076
"Neutrophil","D2",2,0.0228649392491207,0.00883281503229227,0.0232120137661695,0.0245398314669728,0.00333871958064265
"Neutrophil","D4",4,0.0420099928975105,0.00509672599127953,0.0231836242135614,0.0261618506570812,0.000230075699073495
"Neutrophil","D6",6,0.0370839120223536,0.00239865604968751,0.0176074117298413,0.0353172140506407,0.00951605908873413
"Neutrophil","D8",8,0.0413271051556876,0.009526074740279,0.0259114748332649,0.0335024305968545,0.00702032505205352
"Neutrophil","D10",10,0.0364462522481972,0.00757841532424663,0.0285966091287264,0.0346073553257611,0.00866273875988099
"Neutrophil","D14/15",14.5,0.0346523988991976,0.0166639449307695,0.0179892149753869,0.0031834461260587,0.000284849396848585
"Neutrophil","D28",28,0.0315467832631178,0.0049882007879205,0.0179381865541059,0.0255216828319879,0.00814787017291316
"Plasmablast","D0",0,0.15572427585721,0.103961259126663,0.225409626960754,0.418623827397823,0.437024489045143
"Plasmablast","D2",2,0.067200418349239,0.0948364920914173,0.238820184767246,0.139248654991388,0.545135676860809
"Plasmablast","D4",4,0.0266874686196843,0.0254013433770979,0.19706686027348,0.298822650453076,0.531476072967052
"Plasmablast","D6",6,0.0932359194036583,0.147148219785474,0.16335075472792,0.267872507298989,0.452720150351524
"Plasmablast","D8",8,0.108036621478902,0.0439082551729655,0.182951420545578,0.198663397692144,0.329391829669476
"Plasmablast","D10",10,0.0611635854709978,0.0632381737620259,0.206648922214905,0.296026801069578,0.447018620868524
"Plasmablast","D14/15",14.5,0.164316342771053,0.0553008582442999,0.223747137188911,0.202522941456573,0.511676508188248
"Plasmablast","D28",28,0.182139694690704,0.0937347188591957,0.215229526162148,8.24444941827096e-06,0.582813143730164
"T_cell","D0",0,0.517068299408526,0.0693403708840332,0.0112618081622355,0.363537777868086,0.0118426451262781
"T_cell","D2",2,0.511868546625637,0.0698020521933488,0.0136360261802742,0.395536382269174,0.0137898054302731
"T_cell","D4",4,0.491905279773362,0.05482858082291,0.0103677914664423,0.346173570983102,0.0127855067076004
"T_cell","D6",6,0.461501946428832,0.076214810152536,0.0119099168904163,0.421942340938299,0.0146709977466185
"T_cell","D8",8,0.474022143175382,0.0722707508929431,0.0132765970288108,0.392050880632805,0.0145843772212509
"T_cell","D10",10,0.481544087179613,0.0859543069616701,0.015559243818256,0.328818166712211,0.0138627360852298
"T_cell","D14/15",14.5,0.561894679999582,0.0849189708464781,0.0198344485920275,0.328877131610193,0.0142018652079834
"T_cell","D28",28,0.447968821358607,0.071462197126122,0.0100612904166158,0.369587924939097,0.00891757027260123
