pattern,rank,gene,weight,scope,stratum,timepoint_merged,day_merged_numeric,n_subject_contrasts,mean_log2fc,median_log2fc,n_up,n_down,n_near_zero,frac_up,frac_down,gene_direction_consensus
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D2,2.0,3,-0.15096095032971016,-0.19862349602174412,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D2,2.0,3,-0.09271059408802411,-0.10633330498478344,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D2,2.0,3,0.054139414919388194,0.047931390369116755,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D2,2.0,3,0.059720514140432,-0.02002716258862236,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D2,2.0,3,0.056022217766090066,0.04139408093288566,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D2,2.0,3,0.027684931950285947,0.03295208695580776,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D2,2.0,3,0.07929985253997825,0.07632505445707416,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D2,2.0,3,0.06901408763052193,0.10286662976464811,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D2,2.0,3,0.050528000563533126,0.016757638089321958,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D2,2.0,3,0.06231134924109464,0.05739788044922456,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D2,2.0,3,0.06703849605491403,0.03029588709557629,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D2,2.0,3,-0.14141577843378764,-0.08625359571333213,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D2,2.0,3,-0.007841304215570943,-0.054200603943082015,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D2,2.0,3,-0.036220991565620864,-0.002476588283910175,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D2,2.0,3,0.04227591773277221,0.0767561091336173,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D2,2.0,3,-0.1577150821515557,-0.09991865841589842,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D2,2.0,3,-0.016712757413583173,0.024396811022850073,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D2,2.0,3,-0.018040171206237687,0.019135979870629427,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D2,2.0,3,0.013987336251835458,0.0318147887979201,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D2,2.0,3,0.04818917550034859,-0.015704482459069524,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D2,2.0,3,0.07410154816081753,0.09264446079527566,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D2,2.0,3,-0.2598103289056984,-0.24318473216940184,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D2,2.0,3,0.08361870498726927,0.0906758594111956,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D2,2.0,3,-0.06018245501065186,-0.08173162874319218,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D2,2.0,3,-0.16346802941991978,-0.15973201026579176,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D4,4.0,3,-0.31805669048072244,-0.29876932903500375,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D4,4.0,3,-0.2954870938997338,-0.2971738890006108,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D4,4.0,3,0.059840424174735674,0.0181349423614261,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D4,4.0,3,-0.022005682967804436,-0.012976706164931073,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D4,4.0,3,0.006972829296177707,0.061383864434574775,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D4,4.0,3,-0.028220940643252607,-0.01785504195375509,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D4,4.0,3,0.05811661449172156,0.12592735970453717,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D4,4.0,3,0.04588315460727147,0.06353321801926803,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D4,4.0,3,0.11097355957678505,0.013385726461807579,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D4,4.0,3,0.01373932733164492,0.037257530270448314,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D4,4.0,3,0.0699094996048751,-0.011715891013874824,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D4,4.0,3,-0.043692127622651476,-0.19814153922336786,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D4,4.0,3,-0.047705634739812076,0.006045134612074676,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D4,4.0,3,-0.0677434782556432,-0.08290315016223282,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D4,4.0,3,-0.08003224503041,0.041692318123542904,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D4,4.0,3,-0.3544777926246496,-0.48047664743175567,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D4,4.0,3,-0.034870622440398215,-0.10046683416875624,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D4,4.0,3,-0.19527100438128522,-0.2364463814486406,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D4,4.0,3,0.059071561990641897,-0.0006533339674703598,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D4,4.0,3,0.030710196254119637,-0.06543652394726429,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D4,4.0,3,-0.1378932405651566,-0.019645777315641766,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D4,4.0,3,-0.4049562242584859,-0.37669214019936703,0,3,0,0.0,1.0,mostly_down
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D4,4.0,3,0.08344947783186225,0.1451697330277728,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D4,4.0,3,-0.17564452381927906,-0.2580634923203018,0,2,1,0.0,0.6666666666666666,mostly_down
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D4,4.0,3,-0.2855712645564446,-0.1554683482700696,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D6,6.0,3,-0.10009375865088248,-0.12148821561114254,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D6,6.0,3,-0.10114452863755947,-0.08526989579682187,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D6,6.0,3,0.1068403811202406,0.10045515637428082,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D6,6.0,3,0.05757977623169038,0.029836034641556708,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D6,6.0,3,0.045546883123392355,0.009761029242220332,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D6,6.0,3,0.03857334145098908,0.008769013748343824,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D6,6.0,3,0.07298881479363395,0.09106210565295925,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D6,6.0,3,0.06409165714482097,0.04950681029862736,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D6,6.0,3,0.12304004790594192,0.09308965667869273,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D6,6.0,3,0.06022588944516608,0.07222830445242678,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D6,6.0,3,0.05526267324444767,0.06010623804743709,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D6,6.0,3,0.06097323874672907,0.08287860540615988,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D6,6.0,3,-0.08547469763862914,-0.041759942060668465,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D6,6.0,3,0.009716896571307624,-0.00037210830167211384,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D6,6.0,3,0.01725195463757423,-0.010822529061382369,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D6,6.0,3,-0.22526125175786404,-0.13267431143368924,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D6,6.0,3,0.09207117397260885,0.09642517403004192,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D6,6.0,3,-0.043931374902221286,0.06260506969576518,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D6,6.0,3,0.06862411693478936,0.08530695961575852,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D6,6.0,3,0.07781342943515608,0.050694985730423525,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D6,6.0,3,0.07199921784366896,0.12835626269992595,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,22,S100A11,2.93374919891357,all_cells,all_cells,D6,6.0,3,-0.2044755559237128,-0.020836338723579928,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,23,MT-ND4L,2.9286732673645,all_cells,all_cells,D6,6.0,3,0.08304318242202591,0.07540787776106228,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,24,SH3BGRL3,2.81964635848999,all_cells,all_cells,D6,6.0,3,-0.1101091507502634,-0.058356895722946334,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,25,LMNA,2.80009579658508,all_cells,all_cells,D6,6.0,3,-0.10714107901920074,0.18737045951675846,1,1,1,0.3333333333333333,0.3333333333333333,mixed
Pattern1,1,VIM,5.25476121902466,all_cells,all_cells,D8,8.0,3,-0.12188285922445452,-0.148922958018753,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,2,FTH1,4.13278007507324,all_cells,all_cells,D8,8.0,3,-0.18392943422281446,-0.13523353002348415,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,3,EEF1A1,3.91423964500427,all_cells,all_cells,D8,8.0,3,0.030850278815079808,0.05556996983206197,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,4,B2M,3.84338092803955,all_cells,all_cells,D8,8.0,3,0.10296436077845605,0.10537386656787007,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,5,MT-CO2,3.72658133506775,all_cells,all_cells,D8,8.0,3,-0.049282066632132526,-0.08433334597479636,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,6,MT-CO1,3.56567311286926,all_cells,all_cells,D8,8.0,3,-0.06509881895425391,-0.05868273513924116,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,7,MT-ATP6,3.50209546089172,all_cells,all_cells,D8,8.0,3,-0.05952501737827198,-0.08293456924631748,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,8,MT-CYB,3.48091006278992,all_cells,all_cells,D8,8.0,3,-0.02630514350885645,0.009990932596929625,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,9,RPS12,3.46291732788086,all_cells,all_cells,D8,8.0,3,0.09527415030939974,0.16469115439050874,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,10,MT-CO3,3.41657543182373,all_cells,all_cells,D8,8.0,3,-0.06494055323847725,-0.06519796666157163,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,11,MALAT1,3.39676785469055,all_cells,all_cells,D8,8.0,3,-0.12618101906005622,-0.11857150750520873,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,12,ANXA1,3.38810515403748,all_cells,all_cells,D8,8.0,3,0.13931237126006715,-0.026506270252610875,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,13,MT-ND3,3.37165713310242,all_cells,all_cells,D8,8.0,3,-0.17324794311124414,-0.14481501017488974,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,14,TMSB4X,3.35064435005188,all_cells,all_cells,D8,8.0,3,0.02735441610988924,0.09539883274293182,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,15,HLA-B,3.31244993209839,all_cells,all_cells,D8,8.0,3,0.042057050806477626,0.005290525951771485,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,16,S100A10,3.15628671646118,all_cells,all_cells,D8,8.0,3,-0.2550128898868789,-0.11970326215506333,0,1,2,0.0,0.3333333333333333,mostly_near_zero
Pattern1,17,TAGLN2,3.13574528694153,all_cells,all_cells,D8,8.0,3,0.11683331374559221,0.14473915284732364,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,18,GAPDH,3.122713804245,all_cells,all_cells,D8,8.0,3,-0.05093089935457821,-0.01964902139651059,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,19,RPS8,3.04437160491943,all_cells,all_cells,D8,8.0,3,0.03191901316292878,0.13391290506334386,0,0,3,0.0,0.0,mostly_near_zero
Pattern1,20,PTMA,2.9841935634613,all_cells,all_cells,D8,8.0,3,0.08558757323330646,0.11595826876068749,1,0,2,0.3333333333333333,0.0,mostly_near_zero
Pattern1,21,SRGN,2.93841409683228,all_cells,all_cells,D8,8.0,3,-0.026886971214596045,0.061272447290580345,0,0,3,0.0,0.0,mostly_near_zero
