scope,stratum,subject,timepoint_merged,day_merged_numeric,gene,n_cells,total_counts,gene_counts,cpm,log2_cpm
all_cells,all_cells,Subject2,D0,0.0,VIM,5383,13814270.0,194774.0,14099.47829309837,13.783456479718053
all_cells,all_cells,Subject2,D0,0.0,FTH1,5383,13814270.0,321287.0,23257.61694248049,14.505477690051512
all_cells,all_cells,Subject2,D0,0.0,EEF1A1,5383,13814270.0,553235.0,40048.08071653442,15.289481507054393
all_cells,all_cells,Subject2,D0,0.0,B2M,5383,13814270.0,250566.0,18138.200570858975,14.146823254496827
all_cells,all_cells,Subject2,D0,0.0,MT-CO2,5383,13814270.0,279632.0,20242.256738864955,14.305153789297258
all_cells,all_cells,Subject2,D0,0.0,MT-CO1,5383,13814270.0,258650.0,18723.39254987777,14.192631295590264
all_cells,all_cells,Subject2,D0,0.0,MT-ATP6,5383,13814270.0,211521.0,15311.775432216107,13.902448173778522
all_cells,all_cells,Subject2,D0,0.0,MT-CYB,5383,13814270.0,151094.0,10937.530539073003,13.41713132184966
all_cells,all_cells,Subject2,D0,0.0,RPS12,5383,13814270.0,336793.0,24380.079439593985,14.573474380309664
all_cells,all_cells,Subject2,D0,0.0,MT-CO3,5383,13814270.0,225322.0,16310.814831330214,13.993629682905397
all_cells,all_cells,Subject2,D0,0.0,MALAT1,5383,13814270.0,770552.0,55779.422293034666,15.767471236069865
all_cells,all_cells,Subject2,D0,0.0,ANXA1,5383,13814270.0,46221.0,3345.8879839470346,11.70860455133982
all_cells,all_cells,Subject2,D0,0.0,MT-ND3,5383,13814270.0,165309.0,11966.538948493117,13.546838880882369
all_cells,all_cells,Subject2,D0,0.0,TMSB4X,5383,13814270.0,136538.0,9883.83751005301,13.271001535354307
all_cells,all_cells,Subject2,D0,0.0,HLA-B,5383,13814270.0,126493.0,9156.690871106472,13.16076815058544
all_cells,all_cells,Subject2,D0,0.0,S100A10,5383,13814270.0,40546.0,2935.0808982305975,11.51967600416072
all_cells,all_cells,Subject2,D0,0.0,TAGLN2,5383,13814270.0,44929.0,3252.3615073398737,11.667715425476075
all_cells,all_cells,Subject2,D0,0.0,GAPDH,5383,13814270.0,35393.0,2562.060825508695,11.323652001145065
all_cells,all_cells,Subject2,D0,0.0,RPS8,5383,13814270.0,251241.0,18187.063087662253,14.150704292928596
all_cells,all_cells,Subject2,D0,0.0,PTMA,5383,13814270.0,95418.0,6907.205375311182,12.754095258313324
all_cells,all_cells,Subject2,D0,0.0,SRGN,5383,13814270.0,67130.0,4859.467782228087,12.246879453354106
all_cells,all_cells,Subject2,D0,0.0,S100A11,5383,13814270.0,27009.0,1955.152172355108,10.933802888982258
all_cells,all_cells,Subject2,D0,0.0,MT-ND4L,5383,13814270.0,141832.0,10267.064419618266,13.325876631760876
all_cells,all_cells,Subject2,D0,0.0,SH3BGRL3,5383,13814270.0,31162.0,2255.783331294379,11.140052199925545
all_cells,all_cells,Subject2,D0,0.0,LMNA,5383,13814270.0,23351.0,1690.3535257382403,10.723962527214598
all_cells,all_cells,Subject2,D0,0.0,FTL,5383,13814270.0,70941.0,5135.341932653698,12.326525532317687
all_cells,all_cells,Subject2,D0,0.0,SAT1,5383,13814270.0,40339.0,2920.096393077593,11.51229425101832
all_cells,all_cells,Subject2,D0,0.0,NEAT1,5383,13814270.0,28793.0,2084.2939945433236,11.026035080595506
all_cells,all_cells,Subject2,D0,0.0,S100A6,5383,13814270.0,32595.0,2359.5166447448905,11.204886940536104
all_cells,all_cells,Subject2,D0,0.0,TYROBP,5383,13814270.0,12684.0,918.1809824189045,9.844205139136294
all_cells,all_cells,Subject2,D0,0.0,CD74,5383,13814270.0,127807.0,9251.809903816851,13.17567583609678
all_cells,all_cells,Subject2,D0,0.0,LYZ,5383,13814270.0,30525.0,2209.6715932148422,11.110269005867494
all_cells,all_cells,Subject2,D0,0.0,TMSB10,5383,13814270.0,95580.0,6918.932379343969,12.756542224769497
all_cells,all_cells,Subject2,D0,0.0,ACTB,5383,13814270.0,80613.0,5835.487506759315,12.51088467754946
all_cells,all_cells,Subject2,D0,0.0,MT-ND4,5383,13814270.0,73070.0,5289.457930096922,12.36917688883253
all_cells,all_cells,Subject2,D0,0.0,MT-ND2,5383,13814270.0,57739.0,4179.663492895391,12.029516208295545
all_cells,all_cells,Subject2,D0,0.0,CST3,5383,13814270.0,12459.0,901.8934768178123,9.81841197866367
all_cells,all_cells,Subject2,D0,0.0,LY6E,5383,13814270.0,4398.0,318.3664428160156,8.319068920412725
all_cells,all_cells,Subject2,D0,0.0,ISG15,5383,13814270.0,4826.0,349.3488979149821,8.452648547758509
all_cells,all_cells,Subject2,D0,0.0,IFITM1,5383,13814270.0,22093.0,1599.2882721996891,10.64411609690725
all_cells,all_cells,Subject2,D0,0.0,IFITM2,5383,13814270.0,11937.0,864.1064638232784,9.75673387787491
all_cells,all_cells,Subject2,D0,0.0,IFI6,5383,13814270.0,1587.0,114.88120617303701,6.856502796157765
all_cells,all_cells,Subject2,D0,0.0,IFITM3,5383,13814270.0,11341.0,820.9626712088296,9.682929066303634
all_cells,all_cells,Subject2,D0,0.0,MX1,5383,13814270.0,7590.0,549.431855610177,9.104420156546059
all_cells,all_cells,Subject2,D0,0.0,PSME2,5383,13814270.0,3925.0,284.12648659683066,8.155458253277185
all_cells,all_cells,Subject2,D0,0.0,IRF7,5383,13814270.0,3314.0,239.8968602756425,7.912271780136999
all_cells,all_cells,Subject2,D0,0.0,XAF1,5383,13814270.0,1764.0,127.69404391256288,7.00780147552722
all_cells,all_cells,Subject2,D0,0.0,HLA-A,5383,13814270.0,103547.0,7495.654855450198,12.872031266934217
all_cells,all_cells,Subject2,D0,0.0,MT2A,5383,13814270.0,8378.0,606.4743196708911,9.246679611387721
all_cells,all_cells,Subject2,D0,0.0,MYL12A,5383,13814270.0,10048.0,727.3638056878865,9.50851542256177
all_cells,all_cells,Subject2,D0,0.0,IFI44L,5383,13814270.0,438.0,31.706344236792823,5.031498605570703
all_cells,all_cells,Subject2,D0,0.0,PFN1,5383,13814270.0,34758.0,2516.0938652567233,11.297543301882232
all_cells,all_cells,Subject2,D0,0.0,UBC,5383,13814270.0,37151.0,2689.320535938562,11.39356235635092
all_cells,all_cells,Subject2,D0,0.0,IFIT3,5383,13814270.0,2348.0,169.96916956161996,7.417592380788214
all_cells,all_cells,Subject2,D0,0.0,OAS1,5383,13814270.0,1658.0,120.0208190516039,6.919111443546242
all_cells,all_cells,Subject2,D0,0.0,TYMP,5383,13814270.0,2597.0,187.99400909349535,7.562196693067152
all_cells,all_cells,Subject2,D0,0.0,EPSTI1,5383,13814270.0,1987.0,143.8367716860898,7.1782841153608405
all_cells,all_cells,Subject2,D0,0.0,TNFAIP3,5383,13814270.0,35578.0,2575.452774558482,11.331170433320429
all_cells,all_cells,Subject2,D0,0.0,H3F3B,5383,13814270.0,56461.0,4087.1504610811867,11.99723257914239
all_cells,all_cells,Subject2,D0,0.0,NFKBIA,5383,13814270.0,108207.0,7832.987193677263,12.935531054559961
all_cells,all_cells,Subject2,D0,0.0,ZFP36,5383,13814270.0,53113.0,3844.792377736934,11.909065162863909
all_cells,all_cells,Subject2,D0,0.0,NR4A2,5383,13814270.0,10347.0,749.0080909088935,9.550762348918143
all_cells,all_cells,Subject2,D0,0.0,MYADM,5383,13814270.0,18764.0,1358.3055782173071,10.408654101784123
all_cells,all_cells,Subject2,D0,0.0,REL,5383,13814270.0,23437.0,1696.5789723235466,10.729262975673711
all_cells,all_cells,Subject2,D0,0.0,TSC22D3,5383,13814270.0,13669.0,989.484062494797,9.951989951214873
all_cells,all_cells,Subject2,D0,0.0,CREM,5383,13814270.0,20441.0,1479.701786630781,10.532065395734323
all_cells,all_cells,Subject2,D0,0.0,JUNB,5383,13814270.0,38684.0,2800.292740767337,11.45187704050759
all_cells,all_cells,Subject2,D0,0.0,KDM6B,5383,13814270.0,24083.0,1743.3422106271269,10.768467385065435
all_cells,all_cells,Subject2,D0,0.0,MCL1,5383,13814270.0,19758.0,1430.2601585172433,10.483070217585514
all_cells,all_cells,Subject2,D0,0.0,CD69,5383,13814270.0,21885.0,1584.2313781329017,10.63047771412623
all_cells,all_cells,Subject2,D0,0.0,DUSP2,5383,13814270.0,21077.0,1525.741135796535,10.57623975363267
all_cells,all_cells,Subject2,D0,0.0,CXCR4,5383,13814270.0,18389.0,1331.1597355488202,10.379551366971635
all_cells,all_cells,Subject2,D0,0.0,ACTG1,5383,13814270.0,31322.0,2267.3655574996,11.147437440592165
all_cells,all_cells,Subject2,D0,0.0,LDHB,5383,13814270.0,14627.0,1058.8326418985587,10.04962075155866
all_cells,all_cells,Subject2,D0,0.0,ARPC1B,5383,13814270.0,6631.0,480.0108872926329,8.909925738375719
all_cells,all_cells,Subject2,D0,0.0,COX5A,5383,13814270.0,3341.0,241.85136094777357,7.9239297610739845
all_cells,all_cells,Subject2,D0,0.0,C1QBP,5383,13814270.0,3957.0,286.4429318378749,8.167131745390227
