pattern,scope,stratum,timepoint_merged,day_merged_numeric,n_genes_tested,mean_gene_log2fc,median_gene_log2fc,n_genes_up,n_genes_down,n_genes_near_zero,frac_genes_up,frac_genes_down,pattern_direction_consensus,pattern_class,peak_timepoint,eta_timepoint,eta_broad_cell_type,spearman_ifn_score_rho
Pattern1,all_cells,all_cells,D2,2.0,25,-0.012685875812043161,0.027684931950285947,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,all_cells,all_cells,D4,4.0,25,-0.07811847684503576,-0.034870622440398215,0,5,20,0.0,0.2,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,all_cells,all_cells,D6,6.0,25,0.005120451109753989,0.05526267324444767,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,all_cells,all_cells,D8,8.0,25,-0.03805959958731476,-0.031769937767419286,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,all_cells,all_cells,D10,10.0,25,-0.34588203501851017,-0.3967693223604852,1,17,7,0.04,0.68,mostly_down,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,all_cells,all_cells,D14/15,14.5,25,-0.2669522776472046,-0.33885345669153705,4,14,7,0.16,0.56,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern1,all_cells,all_cells,D28,28.0,25,-0.06867880417682119,-0.092017893595429,0,4,21,0.0,0.16,mostly_near_zero,identity-like,D6,0.0194995106417388,0.163340379701848,-0.074088138126735
Pattern10,all_cells,all_cells,D2,2.0,25,-0.02190754662527911,0.038374241465413426,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,all_cells,all_cells,D4,4.0,25,-0.03195445606602358,0.006972829296177707,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,all_cells,all_cells,D6,6.0,25,-0.00457427406514898,0.045546883123392355,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,all_cells,all_cells,D8,8.0,25,-0.024094606270403697,-0.049282066632132526,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,all_cells,all_cells,D10,10.0,25,-0.36685363914049174,-0.4390209807708049,2,17,6,0.08,0.68,mostly_down,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,all_cells,all_cells,D14/15,14.5,25,-0.41104369265605883,-0.5665837318947679,4,19,2,0.16,0.76,mostly_down,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern10,all_cells,all_cells,D28,28.0,25,-0.060050080306160346,-0.06179902499002191,0,4,21,0.0,0.16,mostly_near_zero,identity-like,D0,0.00941045031180752,0.911549622004823,-0.174733943817074
Pattern2,all_cells,all_cells,D2,2.0,25,-0.05934506715233307,-0.06438854126164095,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,all_cells,all_cells,D4,4.0,25,-0.20985845853509674,-0.13869771267802497,0,11,14,0.0,0.44,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,all_cells,all_cells,D6,6.0,25,-0.12285615038156132,-0.09756795064843675,0,6,19,0.0,0.24,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,all_cells,all_cells,D8,8.0,25,-0.1829782725191309,-0.12188285922445452,0,9,16,0.0,0.36,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
Pattern2,all_cells,all_cells,D10,10.0,25,-0.14512645901393817,-0.14145382743124676,6,12,7,0.24,0.48,mostly_near_zero,identity-like,D0,0.00619947836603865,0.499898963394282,-0.150858642749624
