subject,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject2,D0,0.0,200,Pattern3,0.0368628482696542
Subject2,D2,2.0,200,Pattern3,0.0257991078755809
Subject2,D4,4.0,200,Pattern3,0.0134790751852642
Subject2,D6,6.0,200,Pattern3,0.020938205750248
Subject2,D8,8.0,200,Pattern3,0.0237076040343518
Subject2,D10,10.0,200,Pattern3,0.1601026552108226
Subject2,D14/15,14.5,200,Pattern3,0.1271908648805014
Subject2,D28,28.0,200,Pattern3,0.0498099221879665
Subject3,D0,0.0,200,Pattern3,0.0224414983911698
Subject3,D2,2.0,200,Pattern3,0.0170935066553807
Subject3,D4,4.0,200,Pattern3,0.0286480151674066
Subject3,D6,6.0,200,Pattern3,0.0284583115715944
Subject3,D8,8.0,200,Pattern3,0.0545329325630655
Subject3,D10,10.0,200,Pattern3,0.3105841517075896
Subject3,D14/15,14.5,200,Pattern3,0.263407885186607
Subject3,D28,28.0,200,Pattern3,0.024558153727396
Subject5,D0,0.0,200,Pattern3,0.0191303483206862
Subject5,D2,2.0,200,Pattern3,0.0264903645739777
Subject5,D4,4.0,200,Pattern3,0.0130962900360192
Subject5,D6,6.0,200,Pattern3,0.0132770412577743
Subject5,D8,8.0,200,Pattern3,0.0190540864226658
Subject5,D10,10.0,200,Pattern3,0.1636822683282844
Subject5,D14/15,14.5,200,Pattern3,0.1888308330220752
Subject5,D28,28.0,200,Pattern3,0.0124781593125099
