r_pattern,python_pattern,metric,agreement,metric_label,pattern
Pattern1,Pattern1,gene_loading_spearman,1.0,Gene loadings,Pattern1
Pattern2,Pattern2,gene_loading_spearman,1.0,Gene loadings,Pattern2
Pattern3,Pattern3,gene_loading_spearman,1.0,Gene loadings,Pattern3
Pattern4,Pattern4,gene_loading_spearman,1.0,Gene loadings,Pattern4
Pattern5,Pattern5,gene_loading_spearman,1.0,Gene loadings,Pattern5
Pattern6,Pattern6,gene_loading_spearman,1.0,Gene loadings,Pattern6
Pattern7,Pattern7,gene_loading_spearman,1.0,Gene loadings,Pattern7
Pattern8,Pattern8,gene_loading_spearman,1.0,Gene loadings,Pattern8
Pattern9,Pattern9,gene_loading_spearman,1.0,Gene loadings,Pattern9
Pattern10,Pattern10,gene_loading_spearman,1.0,Gene loadings,Pattern10
Pattern1,Pattern1,cell_score_spearman,1.0,Cell scores,Pattern1
Pattern2,Pattern2,cell_score_spearman,1.0,Cell scores,Pattern2
Pattern3,Pattern3,cell_score_spearman,1.0,Cell scores,Pattern3
Pattern4,Pattern4,cell_score_spearman,1.0,Cell scores,Pattern4
Pattern5,Pattern5,cell_score_spearman,1.0,Cell scores,Pattern5
Pattern6,Pattern6,cell_score_spearman,1.0,Cell scores,Pattern6
Pattern7,Pattern7,cell_score_spearman,1.0,Cell scores,Pattern7
Pattern8,Pattern8,cell_score_spearman,1.0,Cell scores,Pattern8
Pattern9,Pattern9,cell_score_spearman,1.0,Cell scores,Pattern9
Pattern10,Pattern10,cell_score_spearman,1.0,Cell scores,Pattern10
Pattern1,Pattern1,top_50_gene_jaccard,1.0,Top-50 genes,Pattern1
Pattern2,Pattern2,top_50_gene_jaccard,1.0,Top-50 genes,Pattern2
Pattern3,Pattern3,top_50_gene_jaccard,1.0,Top-50 genes,Pattern3
Pattern4,Pattern4,top_50_gene_jaccard,1.0,Top-50 genes,Pattern4
Pattern5,Pattern5,top_50_gene_jaccard,1.0,Top-50 genes,Pattern5
Pattern6,Pattern6,top_50_gene_jaccard,1.0,Top-50 genes,Pattern6
Pattern7,Pattern7,top_50_gene_jaccard,1.0,Top-50 genes,Pattern7
Pattern8,Pattern8,top_50_gene_jaccard,1.0,Top-50 genes,Pattern8
Pattern9,Pattern9,top_50_gene_jaccard,1.0,Top-50 genes,Pattern9
Pattern10,Pattern10,top_50_gene_jaccard,1.0,Top-50 genes,Pattern10
