pattern,broad_cell_type,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern1,B_cell,3,3,420,0.04910087184275772,0.03978999480282419,0.06237755331618805,0.00436999925006611,0.080555062962019,0.022972764210464357,420,0.05441918618453638,0.00340116268489505
Pattern1,Monocyte,3,3,723,0.08720655382803971,0.0770297660860785,0.06914305388459183,0.020813723319519927,0.1716628842800074,0.04447315618541133,723,0.084670546435103,0.0316618233919144
Pattern1,NK_cell,3,3,888,0.11581801150811943,0.0640315084393532,0.12281359825981578,0.0485759603711319,0.17606447589341065,0.03696860863407836,888,0.07926355033010751,0.046749597415328054
Pattern1,Neutrophil,3,3,67,0.005414865960569702,0.004557300350576041,0.004472006416108328,0.0014027426334243974,0.010369848832176383,0.0026311585841830533,67,0.0064571234150227665,0.0003273015609011
Pattern1,Plasmablast,3,3,33,0.10620809570651484,0.05271022320553103,0.13576325662870675,0.04535191959055535,0.13750911090028237,0.0304322615567586,33,0.11195209405300516,0.119408085942268
Pattern1,T_cell,3,3,2669,0.20340517620622692,0.10992891578205295,0.2121698672116418,0.08935628307525503,0.3086893783317839,0.06346748911849198,2669,0.22446768234399972,0.164853006601334
Pattern2,B_cell,3,3,420,0.011663108958465429,0.013492766923138104,0.008069256397357694,0.00033113859577869594,0.026588931882259893,0.007790052615186663,420,0.012679131922122716,1.930528014781885e-05
Pattern2,Monocyte,3,3,723,0.36706857646856533,0.3057057982386003,0.43088519079394116,0.03449165624702414,0.6358288823647308,0.1764993249058853,723,0.30070205158694197,0.292646437883377
Pattern2,NK_cell,3,3,888,0.009255795995919098,0.00705733004494077,0.009223441531435105,0.002214698807062346,0.016329247649259842,0.004074551401206588,888,0.0048282622049295445,1.885499841591805e-05
Pattern2,Neutrophil,3,3,67,0.005290238520955906,0.002986153675854801,0.006573083680698518,0.0018770213964051327,0.007420610485764067,0.00172405662859636,67,0.005461181309322013,0.0001858786126831
Pattern2,Plasmablast,3,3,33,0.040274247800703517,0.03531374521705181,0.054868936336902166,2.56652405520678e-06,0.06595124054115319,0.020388400307158723,33,0.04527861933545955,0.0237219482660294
Pattern2,T_cell,3,3,2669,0.003482611108211528,0.001396039416030702,0.0031712241545846986,0.0022685583768007342,0.00500805079324915,0.0008060037326446538,2669,0.003803943382972704,1.80003462446621e-05
