pattern,broad_cell_type,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern1,B_cell,D0,0.0,3,3,73,0.057091030304489886,0.03788798126710946,0.07714532093072198,0.013390925586150753,0.08073684439659694,0.021874636183617145,73,0.060133387113497715,0.0263302195817232
Pattern1,Monocyte,D0,0.0,3,3,110,0.07811634703681919,0.0976119070476713,0.026843791780612178,0.01682490638353894,0.19068034294630645,0.056356260810085754,110,0.09618229715548574,0.04697950556874275
Pattern1,NK_cell,D0,0.0,3,3,88,0.1502493045452411,0.08398104718869503,0.14768069274723522,0.06758202938716579,0.2354851915013223,0.04848648020121975,88,0.11675195027350647,0.0959357470273972
Pattern1,Neutrophil,D0,0.0,2,2,3,0.010604008562950174,0.014832452123725451,0.010604008562950174,0.0001158810846391,0.02109213604126125,0.010488127478311075,3,0.014100051055720533,0.0033614535350352
Pattern1,Plasmablast,D0,0.0,2,2,2,0.1658774316310885,0.00862693305457378,0.1658774316310885,0.159777268767357,0.17197759449482,0.006100162863731495,2,0.1658774316310885,0.1658774316310885
Pattern1,T_cell,D0,0.0,3,3,324,0.21844327465999291,0.1118774307728323,0.24271477762393806,0.09642244628296016,0.3161926000730805,0.06459246477293845,324,0.22927360185601617,0.15941885113716098
Pattern1,B_cell,D2,2.0,3,3,38,0.05444338957218328,0.047156091820661175,0.08056421232964416,6.971140408040803e-06,0.08275898524649765,0.02722558230658944,38,0.06447115086224714,0.0212714932858944
Pattern1,Monocyte,D2,2.0,3,3,86,0.1000531099095215,0.11661047472185894,0.03482914682738491,0.03064853007572104,0.23468165282545855,0.06732508897099532,86,0.12477936891344978,0.08013347163796425
Pattern1,NK_cell,D2,2.0,3,3,118,0.16052485910864428,0.09862551699695614,0.18996271886280752,0.050532365675151354,0.24107949278797397,0.05694146878715864,118,0.11240748832238918,0.0676652863621712
Pattern1,Neutrophil,D2,2.0,2,2,5,0.0005197996958182946,0.0006732796467152207,0.0005197996958182946,4.3719091991079053e-05,0.0009958802996455102,0.00047608060382721553,5,0.0006150158165837377,4.93902298330795e-05
Pattern1,Plasmablast,D2,2.0,3,3,5,0.14390687954922513,0.0784409536548769,0.162841305136681,0.0577317867428064,0.211147546768188,0.04528790570813414,5,0.10943684242665763,0.0971843674778938
Pattern1,T_cell,D2,2.0,3,3,348,0.22201174902711818,0.13261705739815624,0.23890554464167793,0.08175728821510786,0.3453724142245687,0.07656649378796156,348,0.23901131299686082,0.1724258363246915
Pattern1,B_cell,D4,4.0,3,3,63,0.04405127926918969,0.03836496747839486,0.061837722058985495,2.114609647207491e-05,0.0702949696521115,0.022150024301102512,63,0.04909159875181974,0.001948760356754
Pattern1,Monocyte,D4,4.0,3,3,72,0.0864209495599454,0.11298241057201404,0.023479472896618912,0.01892804312625508,0.21685533265696225,0.06523042515744513,72,0.08578880653628378,0.02962039038538935
Pattern1,NK_cell,D4,4.0,3,3,103,0.13917620841423126,0.0890525486308708,0.14773813867941502,0.04615192561628381,0.22363856094699489,0.051414512924055494,103,0.0816128563910064,0.0454309731721878
Pattern1,Neutrophil,D4,4.0,3,3,10,0.007023588792339446,0.011115534134135515,0.000631274581564838,0.0005808228064173,0.0198586689890362,0.006417556624529613,10,0.010229836252756256,0.00068174269108565
Pattern1,Plasmablast,D4,4.0,3,3,4,0.13612682261737077,0.06397488156246096,0.13286652829265244,0.0738444253802299,0.20166951417923,0.03693591509146127,4,0.1353117490361912,0.13775696977972995
Pattern1,T_cell,D4,4.0,3,3,348,0.17645404701147413,0.085663814659417,0.16104006774011062,0.09954368574162686,0.26877838755268485,0.04945802645342462,348,0.18958019969284143,0.14785808324813848
Pattern1,B_cell,D6,6.0,3,3,61,0.05597087467221328,0.03981583339545024,0.07562916573276797,0.010149170419220248,0.08213428786465163,0.022987682128872488,61,0.06144004269466927,0.0509685128927231
Pattern1,Monocyte,D6,6.0,3,3,64,0.10789111164043617,0.10887161815510495,0.07577857293958336,0.01868761715229676,0.2292071448294284,0.06285705804896,64,0.0888796056383565,0.01609331229701635
Pattern1,NK_cell,D6,6.0,3,3,110,0.13852809679155606,0.0775535532928302,0.1782604225154498,0.04915970124768978,0.18816416661152857,0.044775564870227505,110,0.08382238376967938,0.045792980119586
Pattern1,Neutrophil,D6,6.0,3,3,12,0.002647732011761624,0.0023815405767410756,0.0024152828918886245,0.0003909392785316963,0.00513697386486455,0.0013749830930674767,12,0.002194116849598969,0.0002388344801147
Pattern1,Plasmablast,D6,6.0,3,3,6,0.10789983883286257,0.09880677136065054,0.129312843084335,0.0001423681214873584,0.19424430529276535,0.0570461160428294,6,0.1187217492009343,0.1477507799863815
Pattern1,T_cell,D6,6.0,3,3,347,0.23574330575354288,0.13801754535865376,0.2215276566728609,0.10538375482705095,0.38031850576071685,0.07968446696571015,347,0.2658793154719311,0.225368946790695
Pattern1,B_cell,D8,8.0,3,3,60,0.0589675484065047,0.058869218357871164,0.058860937989724395,0.00015170765768743015,0.11788999957210228,0.033988159065899776,60,0.06582761965358704,0.0001024579978547857
Pattern1,Monocyte,D8,8.0,3,3,88,0.05638019177606076,0.05053923572750306,0.03864861347275502,0.017096134655109337,0.1133958272003179,0.029178841351911844,88,0.049597207027845404,0.0006636048492509
Pattern1,NK_cell,D8,8.0,3,3,105,0.0896275797598965,0.055165252589583776,0.06812960670841062,0.048447932957958205,0.15230519961332073,0.0318496734325099,105,0.05989055157186626,0.0133145460858941
Pattern1,Neutrophil,D8,8.0,2,2,8,0.0052161712808356,0.006993865031895877,0.0052161712808356,0.0002707618900785562,0.010161580671592644,0.0049454093907570435,8,0.0052161712808356,0.00015506726776945
Pattern1,Plasmablast,D8,8.0,2,2,4,0.14025101251900202,0.01643825346765486,0.14025101251900202,0.12862741202116,0.15187461301684405,0.01162360049784203,4,0.14025101251900202,0.12862741202116
Pattern1,T_cell,D8,8.0,3,3,335,0.225319297777852,0.13414976512880877,0.2316516169616098,0.08811550994512868,0.3561907664268176,0.07745140300884282,335,0.26275970245078223,0.190283790230751
Pattern1,B_cell,D10,10.0,3,3,46,0.03229334486760961,0.02950755016194581,0.03902977749466309,3.783416246960767e-08,0.05785021927400327,0.0170361920291258,46,0.04171260262171656,0.00065315677784375
Pattern1,Monocyte,D10,10.0,3,3,117,0.07523313151504803,0.09078729530397432,0.029769791583460645,0.01615926052969503,0.1797703424319884,0.05241606938274763,117,0.08187850352878542,0.0218537282198668
Pattern1,NK_cell,D10,10.0,3,3,114,0.11271656227256206,0.057678583503483614,0.13514175554886065,0.04719326664370909,0.15581466462511645,0.03330074571221257,114,0.06702423988807361,0.03217589296400545
Pattern1,Neutrophil,D10,10.0,3,3,16,0.013275030489397113,0.004327042693852384,0.0109716337174177,0.01058692797461769,0.01826652977615595,0.0024982192640906776,16,0.011570922308734974,0.0012878109409939
Pattern1,Plasmablast,D10,10.0,3,3,6,0.11911623366177093,0.0046317216213094484,0.11709990166127678,0.115834452211857,0.124414347112179,0.00267412572487442,6,0.11810806766152386,0.1197113506495955
Pattern1,T_cell,D10,10.0,3,3,301,0.180316809212164,0.08440939557546383,0.21393699879888448,0.08427788001787456,0.24273554881973294,0.04873378725762765,301,0.20067384404578462,0.162474662065506
Pattern1,B_cell,D14/15,14.5,3,3,23,0.025276942207439215,0.032335799661754885,0.014104894284779821,8.5831952674198e-06,0.0617173491422704,0.018669082639175993,23,0.026988449603164613,9.45268948271405e-06
Pattern1,Monocyte,D14/15,14.5,3,3,103,0.021172418717130565,0.017433547491005567,0.01919278790209112,0.004813188776324744,0.039511279472975835,0.010065263336862189,103,0.026024261322230693,0.0001049093043548
Pattern1,NK_cell,D14/15,14.5,3,3,144,0.0760677302962052,0.036051562592310425,0.07947029516785951,0.038435513005187945,0.11029738271556813,0.020814379367377067,144,0.06266734987842976,0.013293569907546
Pattern1,Neutrophil,D14/15,14.5,2,2,2,0.00059982403763565,0.00035503505021106433,0.00059982403763565,0.0003487763460725,0.0008508717291988,0.00025104769156314996,2,0.00059982403763565,0.00059982403763565
Pattern1,Plasmablast,D14/15,14.5,3,3,5,0.02861430133553866,0.04886149997826144,0.0007211178890429,8.82675449247472e-05,0.08503351857264833,0.028210200165458138,5,0.05118198823038252,0.0559716746211052
Pattern1,T_cell,D14/15,14.5,3,3,323,0.14513481283868704,0.07416639085478852,0.1571442713407138,0.06569655437729642,0.21256361279805094,0.04281998572483515,323,0.15965681295798975,0.118323676288128
Pattern1,B_cell,D28,28.0,3,3,56,0.04788000605809767,0.04186854387183673,0.06319552112324246,0.0005101443925923352,0.0799343526584582,0.024172815074982593,56,0.04797558283978781,0.0013941554352641
Pattern1,Monocyte,D28,28.0,3,3,83,0.15401059689112048,0.10881959445715261,0.20219595699135456,0.02941750668349595,0.23041832699851097,0.06282702215294297,83,0.13753975638486807,0.128896921873093
Pattern1,NK_cell,D28,28.0,3,3,106,0.097171692376375,0.10463762264601878,0.04687700598344688,0.027177743467421533,0.21746032767825657,0.06041255960204143,106,0.05913039037081464,0.032983977347612395
Pattern1,Neutrophil,D28,28.0,3,3,11,0.003306845434872204,0.005299022510947766,0.0003994438290646675,9.793950994206753e-05,0.009423152965609877,0.0030593920731375795,11,0.0027782269610890156,0.0001932042941916
Pattern1,Plasmablast,D28,28.0,1,1,1,0.0363401398062706,,0.0363401398062706,0.0363401398062706,0.0363401398062706,,1,0.0363401398062706,0.0363401398062706
Pattern1,T_cell,D28,28.0,3,3,343,0.21396704323319504,0.11547979159860929,0.23308747179447195,0.09012039416529467,0.31869326373981843,0.06667228876541896,343,0.24318702718887925,0.178155481815338
Pattern2,B_cell,D0,0.0,3,3,73,0.013463076590744277,0.013286837513740492,0.01381664498141523,2.9835771444130046e-06,0.026569601213673185,0.007671159215236891,73,0.014210302739179087,0.0001370242098346
Pattern2,Monocyte,D0,0.0,3,3,110,0.43762521446929253,0.37457252520936263,0.48991820824389554,0.03965394871460431,0.7833034864493779,0.2162595482606634,110,0.38219566698156354,0.41649438440799746
Pattern2,NK_cell,D0,0.0,3,3,88,0.013085173091551888,0.009553522798116932,0.0162198868119525,0.0023581232631080993,0.020677509199595063,0.005515728959202037,88,0.007747792511864942,6.91377972543705e-05
