pattern,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern1,D0,0.0,3,3,600,0.16650443931372652,0.09333126107672109,0.19196952381979202,0.06308357698861793,0.24446021713276966,0.05388482870645216,600,0.16650443931372655,0.106971886008978
Pattern1,D2,2.0,3,3,600,0.18361868215914626,0.1163462340098874,0.20646198542398098,0.05754501881194663,0.2868490422415112,0.06717252952480769,600,0.18361868215914628,0.1159672513604165
Pattern1,D4,4.0,3,3,600,0.1404885730867198,0.08657042249376475,0.13708551778570702,0.05566985766248317,0.2287103438119692,0.04998145673063471,600,0.1404885730867198,0.08680826798081401
Pattern1,D6,6.0,3,3,600,0.18609230324342543,0.13012498255620886,0.18378998435616492,0.057133756742189006,0.3173531686319224,0.07512769370712255,600,0.18609230324342546,0.1130642518401145
Pattern1,D8,8.0,3,3,600,0.17204992175674386,0.11694880478580567,0.19095965075343138,0.046798513472402964,0.2783916010443973,0.0675204239244899,600,0.17204992175674388,0.078232292085886
Pattern1,D10,10.0,3,3,600,0.13405989700232887,0.07555361929501365,0.1609823583192339,0.04873257422766572,0.192464758460087,0.04362090243822664,600,0.13405989700232887,0.08869422599673271
Pattern1,D14/15,14.5,3,3,600,0.10691931969035717,0.058110130540167074,0.13883207003833717,0.039845730729660404,0.14208015830307397,0.03354989951000976,600,0.10691931969035719,0.06036003306508065
Pattern1,D28,28.0,3,3,600,0.17308384126740392,0.10876640757295494,0.20569784815681214,0.051741718304086526,0.2618119573413131,0.0627963146910341,600,0.1730838412674039,0.10196902230381949
Pattern2,D0,0.0,3,3,600,0.07567041795440747,0.06001475121861964,0.09100961838894009,0.009474737556124983,0.12652689791815733,0.034649532771418474,600,0.07567041795440746,0.0001368613884551
Pattern2,D2,2.0,3,3,600,0.05253280634764593,0.0374841475411194,0.061260722205452096,0.011454696781142668,0.08488300005634301,0.021641482673208937,600,0.05253280634764593,7.377207657555115e-05
Pattern2,D4,4.0,3,3,600,0.04093666829217373,0.027580336297565854,0.05479814736392454,0.00917511123563684,0.05883674627695981,0.015923514585740053,600,0.04093666829217373,5.686186887032815e-05
Pattern2,D6,6.0,3,3,600,0.04022289870997383,0.0294584439068583,0.04790649631219465,0.007684032753335537,0.06507816706439129,0.017007840519532132,600,0.04022289870997383,5.4494383221026496e-05
Pattern2,D8,8.0,3,3,600,0.04538839012471574,0.03296459263181866,0.051177910272544966,0.009912570219586872,0.07507468988201538,0.01903211642970686,600,0.04538839012471574,5.88960756431334e-05
Pattern2,D10,10.0,3,3,600,0.060017256609558735,0.04806684305895872,0.0810486314065673,0.005019186661719454,0.09398395176038946,0.02775140477918531,600,0.060017256609558735,8.99896031114622e-06
Pattern2,D14/15,14.5,3,3,600,0.044123939577032055,0.04176530727116822,0.03160816317420639,0.010047507439173623,0.09071614811771615,0.02411321139579641,600,0.04412393957703206,1.0846683380805199e-05
Pattern2,D28,28.0,3,3,600,0.03949617908045406,0.0351867716711802,0.03852095666812148,0.004807155902776394,0.0751604246704643,0.020315092096269787,600,0.03949617908045406,2.091489204758545e-05
Pattern3,D0,0.0,3,3,600,0.026144898327170107,0.00942850820249484,0.022441498391169854,0.019130348320686233,0.036862848269654226,0.005443551748766991,600,0.026144898327170103,0.0055683078244328
Pattern3,D2,2.0,3,3,600,0.023127659701646482,0.005237147238247988,0.025799107875580964,0.017093506655380706,0.026490364573977777,0.003023668367788181,600,0.023127659701646482,0.0017393995658494
Pattern3,D4,4.0,3,3,600,0.01840779346289671,0.008870357181971761,0.013479075185264247,0.013096290036019228,0.02864801516740665,0.005121303106819527,600,0.01840779346289671,0.00041420169873155
Pattern3,D6,6.0,3,3,600,0.02089118619320562,0.0075907443781474335,0.020938205750248014,0.013277041257774395,0.02845831157159445,0.004382518310073059,600,0.02089118619320562,0.0014631202793680001
Pattern3,D8,8.0,3,3,600,0.0324315410066944,0.019281271692670902,0.02370760403435187,0.01905408642266583,0.05453293256306552,0.011132047402081858,600,0.0324315410066944,0.00870489049702875
Pattern3,D10,10.0,3,3,600,0.21145635841556554,0.08586584279984309,0.16368226832828445,0.1601026552108226,0.31058415170758963,0.0495746674546835,600,0.21145635841556557,0.1805316284298895
Pattern3,D14/15,14.5,3,3,600,0.19314319436306124,0.06821082392494551,0.18883083302207526,0.1271908648805014,0.263407885186607,0.03938153755471346,600,0.1931431943630612,0.1552613005042075
Pattern3,D28,28.0,3,3,600,0.028948745075957516,0.01904922830825113,0.024558153727396007,0.012478159312509998,0.049809922187966545,0.010998077091623431,600,0.02894874507595752,0.00891066342592235
Pattern4,D0,0.0,3,3,600,0.12724384158917532,0.08311204748382872,0.17343974828519407,0.031296275405175183,0.17699550107715667,0.04798476298768947,600,0.12724384158917532,0.08216999098658564
Pattern4,D2,2.0,3,3,600,0.15227994983157564,0.07896894745199227,0.19076469608350424,0.061446460698672184,0.20462869271255044,0.045592743069029155,600,0.15227994983157564,0.11115754023194299
Pattern4,D4,4.0,3,3,600,0.13466116724683216,0.08291577755937185,0.16510171028680481,0.04082756242486129,0.19805422902883038,0.047871446493970474,600,0.13466116724683216,0.09528044983744625
