pattern,observed_label,pattern_class,eta_timepoint,kruskal_time_p_adj,subject_peak_timepoint,subject_peak_score,subject_score_range,subject_mean_D0,subject_mean_D8,subject_mean_D10,subject_mean_D14_15,subject_mean_D28,D10_minus_D0,D14_15_minus_D0,spearman_ifn_score_rho,candidate_ifn_pattern,top_10_genes,interpretation_note
Pattern3,IFN-associated temporal activity program,activity-like,0.454036194393983,0.0,D10,0.21145635841556554,0.19304856495266884,0.026144898327170107,0.0324315410066944,0.21145635841556554,0.19314319436306124,0.028948745075957516,0.18531146008839544,0.16699829603589114,0.75600666168997,True,"LY6E, ISG15, IFITM1, IFITM2, IFI6, IFITM3, MX1, PSME2, IRF7, XAF1","Primary IFN-associated K=10 program; high temporal effect, positive IFN score correlation, and peak usage at the late acute timepoints."
Pattern5,Plasmablast identity/composition-associated program,identity-like,0.020907301802552,2.2604711043995796e-30,D14/15,0.1541113885383369,0.07557486874520777,0.11973453037251176,0.10755139210550842,0.08687566693972994,0.1541113885383369,0.07853651979312912,-0.032858863432781826,0.03437685816582513,-0.0117378046950792,False,"ACTG1, GAPDH, LDHB, ARPC1B, COX5A, C1QBP, NAP1L1, ATP5G3, PPIB, H2AFY",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern1,T_cell identity/composition-associated program,identity-like,0.0194995106417388,1.2767070238242999e-13,D6,0.18609230324342543,0.07917298355306826,0.16650443931372652,0.17204992175674386,0.13405989700232887,0.10691931969035717,0.17308384126740392,-0.03244454231139765,-0.05958511962336935,-0.074088138126735,False,"VIM, FTH1, EEF1A1, B2M, MT-CO2, MT-CO1, MT-ATP6, MT-CYB, RPS12, MT-CO3",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern4,NK_cell identity/composition-associated program,identity-like,0.0098125518731666,1.1803372086685099e-11,D14/15,0.1683265105065136,0.05222474187126308,0.12724384158917532,0.13705286880686007,0.11610176863525051,0.1683265105065136,0.14543107360048393,-0.011142072953924803,0.04108266891733828,-0.0877535662757487,False,"TNFAIP3, H3F3B, FTH1, MALAT1, NFKBIA, SRGN, ZFP36, PTMA, NR4A2, MYADM",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern10,B_cell identity/composition-associated program,identity-like,0.0094104503118075,9.63209259078988e-13,D0,0.1093055884102873,0.0671377618178667,0.1093055884102873,0.08599776605471783,0.07345418043636696,0.042167826592420604,0.08202195517900375,-0.035851407973920335,-0.0671377618178667,-0.174733943817074,False,"CD74, EEF1A1, MALAT1, HLA-DRA, MT-CO2, MT-CO1, HLA-DRB1, RPS8, RPS12, MT-ATP6",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern9,NK_cell identity/composition-associated program,identity-like,0.0092421576728893,0.0560713047725476,D14/15,0.18717917027123376,0.08448984553170731,0.10268932473952645,0.13679305591333404,0.15119859648186276,0.18717917027123376,0.12862039194941313,0.04850927174233631,0.08448984553170731,0.203614527233417,False,"NKG7, B2M, MT-CO2, CST7, CCL5, MALAT1, MT-CO1, TMSB4X, HLA-B, EEF1A1",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern2,Monocyte identity/composition-associated program,identity-like,0.0061994783660386,5.84824621691301e-24,D0,0.07567041795440747,0.036174238873953414,0.07567041795440747,0.04538839012471574,0.060017256609558735,0.044123939577032055,0.03949617908045406,-0.01565316134484874,-0.03154647837737542,-0.150858642749624,False,"FTH1, VIM, FTL, MALAT1, MT-CO1, SAT1, NEAT1, S100A6, MT-CO2, MT-CO3",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern7,T_cell identity/composition-associated program,identity-like,0.0051128933425158,0.003727592958087,D14/15,0.29029468322508045,0.06248449708830897,0.2648777699652972,0.2589010138099093,0.22781018613677148,0.29029468322508045,0.23502037889268515,-0.037067583828525735,0.025416913259783236,-0.085419574878381,False,"MALAT1, EEF1A1, RPS12, RPS8, MT-CO2, B2M, MT-CO3, MT-ATP6, MT-CO1, MT-ND3",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern8,Monocyte identity/composition-associated program,identity-like,0.0032165246715232,4.24387882479011e-10,D14/15,0.08426747872715575,0.03382364845637766,0.07479063077860222,0.07081975503461208,0.0801583864257761,0.08426747872715575,0.06484740727460961,0.005367755647173872,0.009476847948553524,-0.14916520053419,False,"FTL, CST3, FTH1, ACTB, TMSB4X, TYROBP, EEF1A1, S100A6, MT-CO1, S100A4",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
Pattern6,T_cell identity/composition-associated program,identity-like,0.0019435104142441,0.0001095782547003,D28,0.17975380370549546,0.029925438052680886,0.1647767331592262,0.17291931868231555,0.14982836565281457,0.15746414377471524,0.17975380370549546,-0.014948367506411625,-0.007312589384510959,0.0786828398064539,False,"EEF1A1, MTRNR2L8, RPS12, CD52, B2M, MALAT1, ACTB, TMSB4X, RPS8, HLA-B",Interpreted mainly as identity/composition-associated until stratified analyses show otherwise.
