subject,broad_cell_type,n_cells,pattern,mean_pattern_score
Subject2,B_cell,148,Pattern1,0.080555062962019
Subject2,B_cell,148,Pattern2,0.026588931882259893
Subject2,B_cell,148,Pattern3,0.034756443027983634
Subject2,B_cell,148,Pattern4,0.1434816183952129
Subject2,B_cell,148,Pattern5,0.12464718948732378
Subject2,B_cell,148,Pattern6,0.009376796821629153
Subject2,B_cell,148,Pattern7,0.056870768136675576
Subject2,B_cell,148,Pattern8,0.0015335900524379841
Subject2,B_cell,148,Pattern9,0.004491767380878771
Subject2,B_cell,148,Pattern10,0.7038898044139952
Subject2,Monocyte,150,Pattern1,0.06914305388459183
Subject2,Monocyte,150,Pattern2,0.6358288823647308
Subject2,Monocyte,150,Pattern3,0.11658421893349273
Subject2,Monocyte,150,Pattern4,0.10510361838786457
Subject2,Monocyte,150,Pattern5,0.17408030814849326
Subject2,Monocyte,150,Pattern6,0.02355934971376881
Subject2,Monocyte,150,Pattern7,0.031521481010467096
Subject2,Monocyte,150,Pattern8,0.10691414915992822
Subject2,Monocyte,150,Pattern9,0.013403198596130664
Subject2,Monocyte,150,Pattern10,0.07057283478173774
Subject2,NK_cell,82,Pattern1,0.12281359825981578
Subject2,NK_cell,82,Pattern2,0.016329247649259842
Subject2,NK_cell,82,Pattern3,0.12551589458483128
Subject2,NK_cell,82,Pattern4,0.4120165271236319
Subject2,NK_cell,82,Pattern5,0.18172937762944333
Subject2,NK_cell,82,Pattern6,0.005357503632351051
Subject2,NK_cell,82,Pattern7,0.05347259530810928
Subject2,NK_cell,82,Pattern8,0.0035126986336006336
Subject2,NK_cell,82,Pattern9,0.503296236802892
Subject2,NK_cell,82,Pattern10,0.009285985173094218
Subject2,Neutrophil,34,Pattern1,0.010369848832176383
Subject2,Neutrophil,34,Pattern2,0.007420610485764067
Subject2,Neutrophil,34,Pattern3,0.00412245015945048
Subject2,Neutrophil,34,Pattern4,0.012504039452683975
Subject2,Neutrophil,34,Pattern5,0.04118604479406392
Subject2,Neutrophil,34,Pattern6,0.0020831958263041574
Subject2,Neutrophil,34,Pattern7,0.04175868554824881
Subject2,Neutrophil,34,Pattern8,0.013196977594548902
Subject2,Neutrophil,34,Pattern9,0.006264696739194975
Subject2,Neutrophil,34,Pattern10,0.004810288221158421
Subject2,Plasmablast,16,Pattern1,0.13750911090028237
Subject2,Plasmablast,16,Pattern2,0.06595124054115319
Subject2,Plasmablast,16,Pattern3,0.05554554418601532
Subject2,Plasmablast,16,Pattern4,0.06968558183543387
Subject2,Plasmablast,16,Pattern5,0.6307666664943098
Subject2,Plasmablast,16,Pattern6,0.031436881819515414
Subject2,Plasmablast,16,Pattern7,0.004077730432996387
Subject2,Plasmablast,16,Pattern8,0.024857521581907356
Subject2,Plasmablast,16,Pattern9,0.04524548923927793
Subject2,Plasmablast,16,Pattern10,0.362328170798719
Subject2,T_cell,1170,Pattern1,0.2121698672116418
Subject2,T_cell,1170,Pattern2,0.00500805079324915
Subject2,T_cell,1170,Pattern3,0.04925237171141774
Subject2,T_cell,1170,Pattern4,0.16087945635899376
Subject2,T_cell,1170,Pattern5,0.08921653041045603
Subject2,T_cell,1170,Pattern6,0.04889434327121145
Subject2,T_cell,1170,Pattern7,0.5477015075738882
Subject2,T_cell,1170,Pattern8,0.0016042938992135887
Subject2,T_cell,1170,Pattern9,0.043143237253995326
Subject2,T_cell,1170,Pattern10,0.012056376176192946
Subject3,B_cell,104,Pattern1,0.00436999925006611
Subject3,B_cell,104,Pattern2,0.00033113859577869594
Subject3,B_cell,104,Pattern3,0.03142137529696742
Subject3,B_cell,104,Pattern4,0.010733460600853544
Subject3,B_cell,104,Pattern5,0.166520808784622
Subject3,B_cell,104,Pattern6,0.3108667784298842
Subject3,B_cell,104,Pattern7,0.007852376721568279
Subject3,B_cell,104,Pattern8,0.027877380801809373
Subject3,B_cell,104,Pattern9,0.0684051219395254
Subject3,B_cell,104,Pattern10,0.5809667551746736
Subject3,Monocyte,315,Pattern1,0.020813723319519927
Subject3,Monocyte,315,Pattern2,0.03449165624702414
Subject3,Monocyte,315,Pattern3,0.2327404527520093
Subject3,Monocyte,315,Pattern4,0.05829316649250612
Subject3,Monocyte,315,Pattern5,0.22779360178422364
Subject3,Monocyte,315,Pattern6,0.06088879631212135
Subject3,Monocyte,315,Pattern7,0.014656723394480578
Subject3,Monocyte,315,Pattern8,0.7193860386572187
Subject3,Monocyte,315,Pattern9,0.034251933077560553
Subject3,Monocyte,315,Pattern10,0.058565841090232475
Subject3,NK_cell,640,Pattern1,0.0485759603711319
Subject3,NK_cell,640,Pattern2,0.002214698807062346
Subject3,NK_cell,640,Pattern3,0.06648650860526122
Subject3,NK_cell,640,Pattern4,0.04197020062592482
Subject3,NK_cell,640,Pattern5,0.07430091405148789
Subject3,NK_cell,640,Pattern6,0.4608258760999888
Subject3,NK_cell,640,Pattern7,0.023269133852075075
Subject3,NK_cell,640,Pattern8,0.004599109083241116
Subject3,NK_cell,640,Pattern9,0.6086691618431359
Subject3,NK_cell,640,Pattern10,0.01950957701884907
Subject3,Neutrophil,22,Pattern1,0.0014027426334243974
Subject3,Neutrophil,22,Pattern2,0.0018770213964051327
Subject3,Neutrophil,22,Pattern3,0.004447268189377748
Subject3,Neutrophil,22,Pattern4,0.0074029606133659415
Subject3,Neutrophil,22,Pattern5,0.041032477083552454
Subject3,Neutrophil,22,Pattern6,0.008125801669517686
Subject3,Neutrophil,22,Pattern7,0.04026127748213845
Subject3,Neutrophil,22,Pattern8,0.0197071988637948
Subject3,Neutrophil,22,Pattern9,0.010343267020650916
Subject3,Neutrophil,22,Pattern10,0.005539380695009533
Subject3,Plasmablast,9,Pattern1,0.04535191959055535
Subject3,Plasmablast,9,Pattern2,2.56652405520678e-06
Subject3,Plasmablast,9,Pattern3,0.04404203885714827
Subject3,Plasmablast,9,Pattern4,0.025706228943929446
Subject3,Plasmablast,9,Pattern5,0.7117444641060301
Subject3,Plasmablast,9,Pattern6,0.12361290554205565
Subject3,Plasmablast,9,Pattern7,5.957623015242199e-05
Subject3,Plasmablast,9,Pattern8,0.14959295176797435
Subject3,Plasmablast,9,Pattern9,0.08023872743878106
Subject3,Plasmablast,9,Pattern10,0.3496310727463827
Subject3,T_cell,510,Pattern1,0.08935628307525503
Subject3,T_cell,510,Pattern2,0.0022685583768007342
Subject3,T_cell,510,Pattern3,0.05944753252750312
Subject3,T_cell,510,Pattern4,0.019594826164696138
Subject3,T_cell,510,Pattern5,0.08940136373572512
Subject3,T_cell,510,Pattern6,0.6365552632699666
Subject3,T_cell,510,Pattern7,0.2772612826489921
Subject3,T_cell,510,Pattern8,0.004642546080751858
Subject3,T_cell,510,Pattern9,0.03958232502188713
Subject3,T_cell,510,Pattern10,0.009262881825531706
Subject5,B_cell,168,Pattern1,0.06237755331618805
Subject5,B_cell,168,Pattern2,0.008069256397357694
Subject5,B_cell,168,Pattern3,0.025145502605100248
Subject5,B_cell,168,Pattern4,0.2116767347211144
Subject5,B_cell,168,Pattern5,0.08510500045929652
Subject5,B_cell,168,Pattern6,0.01819247089556662
Subject5,B_cell,168,Pattern7,0.044251229436459164
Subject5,B_cell,168,Pattern8,0.003457633346320143
Subject5,B_cell,168,Pattern9,0.006019535841453734
Subject5,B_cell,168,Pattern10,0.6945486558335168
Subject5,Monocyte,258,Pattern1,0.1716628842800074
Subject5,Monocyte,258,Pattern2,0.43088519079394116
Subject5,Monocyte,258,Pattern3,0.13527992982755765
Subject5,Monocyte,258,Pattern4,0.07873565640428806
Subject5,Monocyte,258,Pattern5,0.15191227561308793
Subject5,Monocyte,258,Pattern6,0.003676932719012406
Subject5,Monocyte,258,Pattern7,0.019858313943970064
Subject5,Monocyte,258,Pattern8,0.26012029439615186
Subject5,Monocyte,258,Pattern9,0.00589325309634552
Subject5,Monocyte,258,Pattern10,0.05890771544201093
Subject5,NK_cell,166,Pattern1,0.17606447589341065
Subject5,NK_cell,166,Pattern2,0.009223441531435105
Subject5,NK_cell,166,Pattern3,0.09722271660448867
Subject5,NK_cell,166,Pattern4,0.4377923089697125
Subject5,NK_cell,166,Pattern5,0.09780628072040372
Subject5,NK_cell,166,Pattern6,0.021970612619368664
Subject5,NK_cell,166,Pattern7,0.028182709438584592
Subject5,NK_cell,166,Pattern8,0.007004052205022449
Subject5,NK_cell,166,Pattern9,0.4694160696523017
Subject5,NK_cell,166,Pattern10,0.021276254689182785
Subject5,Neutrophil,11,Pattern1,0.004472006416108328
Subject5,Neutrophil,11,Pattern2,0.006573083680698518
Subject5,Neutrophil,11,Pattern3,0.00410304308502417
Subject5,Neutrophil,11,Pattern4,0.019720172438114355
Subject5,Neutrophil,11,Pattern5,0.032829624311323795
Subject5,Neutrophil,11,Pattern6,0.003666006388481331
Subject5,Neutrophil,11,Pattern7,0.047170493413101526
Subject5,Neutrophil,11,Pattern8,0.010847900409399591
Subject5,Neutrophil,11,Pattern9,0.004728764691290857
Subject5,Neutrophil,11,Pattern10,0.005908212392321041
Subject5,Plasmablast,8,Pattern1,0.13576325662870675
Subject5,Plasmablast,8,Pattern2,0.054868936336902166
Subject5,Plasmablast,8,Pattern3,0.039389543970369104
Subject5,Plasmablast,8,Pattern4,0.15873694000765676
Subject5,Plasmablast,8,Pattern5,0.6992361843585968
Subject5,Plasmablast,8,Pattern6,0.005711067482224056
Subject5,Plasmablast,8,Pattern7,0.01051734858368292
Subject5,Plasmablast,8,Pattern8,0.07573949551442638
Subject5,Plasmablast,8,Pattern9,0.032318748781641184
Subject5,Plasmablast,8,Pattern10,0.37897819653153425
Subject5,T_cell,989,Pattern1,0.3086893783317839
Subject5,T_cell,989,Pattern2,0.0031712241545846986
Subject5,T_cell,989,Pattern3,0.035977746349432335
Subject5,T_cell,989,Pattern4,0.23729739342880593
Subject5,T_cell,989,Pattern5,0.07858672904508439
Subject5,T_cell,989,Pattern6,0.06783304568002901
Subject5,T_cell,989,Pattern7,0.416607259800012
Subject5,T_cell,989,Pattern8,0.0022207718151935553
Subject5,T_cell,989,Pattern9,0.05813995930500078
Subject5,T_cell,989,Pattern10,0.015119037847487592
