subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10,ifn_program_score,translation_program_score,mito_program_score,plasmablast_program_score
Subject2,B_cell,D0,0.0,25,0.07714532093072198,0.026569601213673185,0.024548875818282426,0.15064535578698277,0.13349956398657017,0.004986814464782005,0.03225029553703734,0.0005868448770706903,0.0002350158928929452,0.7774316823482513,-0.21093415704568236,1.7643288766121392,2.750637316894532,0.04384002631505334
Subject2,B_cell,D10,10.0,19,0.05785021927400327,0.015283069807824892,0.12845653001415103,0.15070663177022264,0.05700292639299305,0.009481510192047491,0.05704914270186452,0.0011667716651940815,0.001365685656834018,0.6543706247681067,0.6746747319740158,1.2605005877870756,2.5409060488249127,0.1338721933281212
Subject2,B_cell,D14/15,14.5,8,0.0617173491422704,0.00277786750984884,0.08266284133060262,0.15677937865257263,0.06830641894293871,0.005118663975565591,0.10509118623099313,0.0002997691542105775,0.00011726638927454132,0.7401413656771184,0.3121373895804087,1.4590811948387001,2.421869344711304,0.02591885437568028
Subject2,B_cell,D2,2.0,15,0.08275898524649765,0.03713758281483023,0.024901043860272233,0.1411705167226804,0.13900085287065547,3.7864791769000826e-06,0.028518216061487064,1.0218318311669508e-05,0.0002471089171473259,0.7717830181121826,-0.1590683906873066,1.7832139002222596,2.7849033813476565,0.10225365681118441
Subject2,B_cell,D28,28.0,9,0.0799343526584582,0.011897528028981693,0.0336981711806312,0.13933227899380843,0.07608209476812691,0.013833921300147259,0.06605071144829497,0.006546733796312773,0.0037773882211240323,0.708291404777103,-0.18925074082833754,1.7072648645258266,2.5326050398084856,-0.0765092877988463
Subject2,B_cell,D4,4.0,22,0.0702949696521115,0.033656485894136334,0.008371771061820143,0.15543289262462748,0.15406081458414433,0.010664923256588178,0.04467348767997431,0.0011923592023182752,0.0004211028182477918,0.7088343257253821,-0.2584772111249692,1.7364206539677776,2.6742058320478965,0.11043712128292436
Subject2,B_cell,D6,6.0,28,0.08213428786465163,0.03336952655344506,0.010220557608600642,0.14892317302753463,0.13925260812897025,0.011789414300080485,0.03033314616492682,0.002157716412548484,0.01560503504582403,0.6905480234750679,-0.32779755194981897,1.8481536125302662,2.8139546557835162,0.06369341891436359
Subject2,B_cell,D8,8.0,22,0.11788999957210228,0.02815407700701914,0.012777322583645554,0.10866199321203976,0.15557388168245337,0.01603198007236206,0.12870811950383335,0.0019096159099014826,0.006732347519174603,0.6138481118462301,-0.2935771279714323,1.7320071958655106,2.6753787058049983,0.12943470201709062
Subject2,Monocyte,D0,0.0,21,0.026843791780612178,0.7833034864493779,0.028324705559648288,0.10780315584547467,0.24828031968735592,0.03159446904963182,0.01804261004585462,0.0213092462498545,0.008101501494766534,0.06197081448435081,-0.1669132106644768,1.1615499831497145,2.831455619448708,-0.010894700629370651
Subject2,Monocyte,D10,10.0,24,0.029769791583460645,0.6182452111709911,0.33090777384738135,0.12433687231451528,0.15895356406629924,0.021873651516713725,0.001971543797040441,0.10463124342883628,0.021382813598613354,0.0831555641269309,0.9725722258620787,0.7007094430071968,2.4329351711273195,-0.05510230605800947
