subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject2,B_cell,D0,0.0,25,Pattern1,0.07714532093072198
Subject2,B_cell,D0,0.0,25,Pattern2,0.026569601213673185
Subject2,B_cell,D0,0.0,25,Pattern3,0.024548875818282426
Subject2,B_cell,D0,0.0,25,Pattern4,0.15064535578698277
Subject2,B_cell,D0,0.0,25,Pattern5,0.13349956398657017
Subject2,B_cell,D0,0.0,25,Pattern6,0.004986814464782005
Subject2,B_cell,D0,0.0,25,Pattern7,0.03225029553703734
Subject2,B_cell,D0,0.0,25,Pattern8,0.0005868448770706903
Subject2,B_cell,D0,0.0,25,Pattern9,0.0002350158928929452
Subject2,B_cell,D0,0.0,25,Pattern10,0.7774316823482513
Subject2,B_cell,D10,10.0,19,Pattern1,0.05785021927400327
Subject2,B_cell,D10,10.0,19,Pattern2,0.015283069807824892
Subject2,B_cell,D10,10.0,19,Pattern3,0.12845653001415103
Subject2,B_cell,D10,10.0,19,Pattern4,0.15070663177022264
Subject2,B_cell,D10,10.0,19,Pattern5,0.05700292639299305
Subject2,B_cell,D10,10.0,19,Pattern6,0.009481510192047491
Subject2,B_cell,D10,10.0,19,Pattern7,0.05704914270186452
Subject2,B_cell,D10,10.0,19,Pattern8,0.0011667716651940815
Subject2,B_cell,D10,10.0,19,Pattern9,0.001365685656834018
Subject2,B_cell,D10,10.0,19,Pattern10,0.6543706247681067
Subject2,B_cell,D14/15,14.5,8,Pattern1,0.0617173491422704
Subject2,B_cell,D14/15,14.5,8,Pattern2,0.00277786750984884
Subject2,B_cell,D14/15,14.5,8,Pattern3,0.08266284133060262
Subject2,B_cell,D14/15,14.5,8,Pattern4,0.15677937865257263
Subject2,B_cell,D14/15,14.5,8,Pattern5,0.06830641894293871
Subject2,B_cell,D14/15,14.5,8,Pattern6,0.005118663975565591
Subject2,B_cell,D14/15,14.5,8,Pattern7,0.10509118623099313
Subject2,B_cell,D14/15,14.5,8,Pattern8,0.0002997691542105775
Subject2,B_cell,D14/15,14.5,8,Pattern9,0.00011726638927454132
