subject,timepoint_merged,day_merged_numeric,n_cells,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10,ifn_program_score,translation_program_score,mito_program_score,plasmablast_program_score
Subject2,D0,0.0,200,0.19196952381979202,0.09100961838894009,0.036862848269654226,0.17343974828519407,0.12931494414785474,0.025860083766828613,0.4037502853890584,0.0039775600114543815,0.05415109008748819,0.11420283684158021,-0.03206946356594565,1.7629364120352025,2.534519107437134,-0.11481893882552784
Subject2,D10,10.0,200,0.1609823583192339,0.0810486314065673,0.1601026552108226,0.1209927810763025,0.08237848273180902,0.04671678812241735,0.32500692113088614,0.014296297700152963,0.0480736839351743,0.0901554351558346,0.761268436451753,1.2476210066995452,2.2085694718360904,-0.08558084513545039
Subject2,D14/15,14.5,200,0.13883207003833717,0.03160816317420639,0.1271908648805014,0.17702006299723222,0.2024305225926116,0.05011929146725306,0.49242310553497476,0.011577133054394357,0.12173835915288343,0.045454737561290266,0.35378284682830174,1.4561344641568712,2.0675011110305785,-0.1374265316893657
Subject2,D2,2.0,200,0.20646198542398098,0.061260722205452096,0.025799107875580964,0.20462869271255044,0.1255077816929452,0.034992076855625664,0.46038807951854094,0.004434566948511637,0.05489043230303394,0.07393655880305375,-0.13004170146385832,1.7824338441418144,2.5221041902065275,-0.15396538487474123
Subject2,D28,28.0,200,0.20569784815681214,0.0751604246704643,0.049809922187966545,0.13399225802124734,0.08327275248701482,0.04927638029101145,0.3984833492520839,0.04425755042005206,0.05468056868323004,0.04855491263275552,-0.03187778237462042,1.5384645759937718,2.2408679894447325,-0.15978239196538926
Subject2,D4,4.0,200,0.13708551778570702,0.05883674627695981,0.013479075185264247,0.19805422902883038,0.07416731775715786,0.048119290533474614,0.3976412300119372,0.007799145388771071,0.03858664461271397,0.09481536580575435,-0.16948699115316074,1.8043437452492668,2.5254406748771667,-0.1146324093133211
Subject2,D6,6.0,200,0.18378998435616492,0.06507816706439129,0.020938205750248014,0.17313171389120321,0.09625140018161688,0.02434757014110893,0.3991993952635164,0.004539074556504648,0.058545397676040514,0.11826680316011164,-0.14657442963918046,1.8031921663059263,2.556013790655136,-0.12283842646479608
Subject2,D8,8.0,200,0.19095965075343138,0.07507468988201538,0.02370760403435187,0.12151675446538933,0.0833646584047547,0.03627443921749635,0.4222358914394056,0.005496554096710815,0.04613416296824768,0.0925624886054713,-0.16786027005712192,1.7765645070039497,2.4261725603818896,-0.10336381234923998
Subject3,D0,0.0,200,0.06308357698861793,0.009474737556124983,0.022441498391169854,0.031296275405175183,0.10968552469071646,0.4384144713253349,0.13031139071414682,0.15286420499953024,0.17571750687673274,0.09073914589360924,-0.15841976229747134,1.781609870943488,2.6669730879068374,-0.09744456204473971
Subject3,D10,10.0,200,0.04873257422766572,0.005019186661719454,0.31058415170758963,0.020649886100857814,0.11017954656696183,0.37082615423394993,0.08966122460658495,0.17159224598533313,0.31673100119725056,0.04025308582966395,1.2514265018145243,1.2529172293385682,2.4260806825637813,-0.15324896148244535
Subject3,D14/15,14.5,200,0.039845730729660404,0.010047507439173623,0.263407885186607,0.031736293210150666,0.12047061972760019,0.3840469113031796,0.09771255825582208,0.18988109512990056,0.2918247045965801,0.035616110807710995,0.8750996005554994,1.2278787315925774,2.067038875007629,-0.13306513214011986
Subject3,D2,2.0,200,0.05754501881194663,0.011454696781142668,0.017093506655380706,0.061446460698672184,0.10514069284607044,0.45743418613821407,0.10340255313685233,0.1251262724326915,0.24360638641574675,0.053548108690678484,-0.1329541377375523,1.7747241980749737,2.6736642518997193,-0.145800522228082
Subject3,D28,28.0,200,0.051741718304086526,0.004807155902776394,0.024558153727396007,0.02392659465388674,0.09161589242371178,0.4249284291069034,0.0874101559467931,0.12338179741830643,0.27213307758977523,0.06991497107334958,-0.06586563640336195,1.7284510694869926,2.4573646929740907,-0.1121173715094725
Subject3,D4,4.0,200,0.05566985766248317,0.00917511123563684,0.02864801516740665,0.04082756242486129,0.1299035757587471,0.45037066585426144,0.10327320104035807,0.1316459462327377,0.28158367743472174,0.07498246800066466,-0.1165870529572169,1.7270611606013713,2.696135355126858,-0.13750016362865766
Subject3,D6,6.0,200,0.057133756742189006,0.007684032753335537,0.02845831157159445,0.029527759997784092,0.1467178148886856,0.4275468243055365,0.10940516959159977,0.12138693446433946,0.26005042888321805,0.06793397251346503,-0.09811248442629976,1.7488664172741826,2.658284702467918,-0.12204563649098078
Subject3,D8,8.0,200,0.046798513472402964,0.009912570219586872,0.05453293256306552,0.04422485893963466,0.1339305523304847,0.4082980804991695,0.09190024248432742,0.1671058685160864,0.30129542382255,0.06374977486426558,0.02081099602580072,1.672894459570549,2.6579950395345686,-0.11903448307613532
Subject5,D0,0.0,200,0.24446021713276966,0.12652689791815733,0.019130348320686233,0.17699550107715667,0.12020312227896411,0.030055644385515033,0.26057163379268644,0.06753012732482203,0.07819937725435841,0.12297478249567247,-0.24581037567059197,1.625462143220464,2.9324678989410398,-0.13473833370705443
Subject5,D10,10.0,200,0.192464758460087,0.09398395176038946,0.16368226832828445,0.20666263872859122,0.06806897152041898,0.031942154602076445,0.26876241267284334,0.054586615591842226,0.0887911043131634,0.08995402032360232,0.5950586763223011,1.1967241943224656,2.566943391990662,-0.1315819020628929
Subject5,D14/15,14.5,200,0.14208015830307397,0.09071614811771615,0.18883083302207526,0.29622317531215786,0.1394330232947989,0.038226228553713056,0.2807483858844445,0.051344207997172334,0.14797444706423776,0.045432631408260545,0.5084431445995965,0.975556856364924,2.2652010496616364,-0.11291538269122442
Subject5,D2,2.0,200,0.2868490422415112,0.08488300005634301,0.026490364573977777,0.19076469608350424,0.09780642094774195,0.04331477961163536,0.26302446671178364,0.06168073202801153,0.10720019784187451,0.07818864187687026,-0.16881868547995882,1.5440043422458123,2.8313916997909545,-0.15032000494201975
Subject5,D28,28.0,200,0.2618119573413131,0.03852095666812148,0.012478159312509998,0.2783743681263178,0.06072091446866074,0.06505660171857156,0.21916763147917845,0.026902873985470328,0.05904752957523416,0.12759598183090615,-0.22438231994708382,1.6147598334204176,2.7085744841575625,-0.08724833114544552
Subject5,D4,4.0,200,0.2287103438119692,0.05479814736392454,0.013096290036019228,0.16510171028680481,0.08101583668671024,0.039709278718067786,0.3376906766845485,0.031574004871492034,0.05780650797505383,0.11311152349008877,-0.25051195784012475,1.6719530866462358,2.904557620334625,-0.1392396510710319
Subject5,D6,6.0,200,0.3173531686319224,0.04790649631219465,0.013277041257774395,0.26407568533188824,0.09441344598545581,0.051634887252416765,0.25678576260901975,0.025405481791490124,0.08936023021190628,0.08838022079121798,-0.21262633012235166,1.5980583867620757,2.7737942426681523,-0.11641672584513824
Subject5,D8,8.0,200,0.2783916010443973,0.051177910272544966,0.01905408642266583,0.24541699301555625,0.10535896558128584,0.07418543633028082,0.2625669075059949,0.03985684249103903,0.06294958094920443,0.10168103469441661,-0.19279720335205397,1.7315372157461786,2.734628693771362,-0.09528262157837548
