subject,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject2,D0,0.0,200,Pattern1,0.19196952381979202
Subject2,D0,0.0,200,Pattern2,0.09100961838894009
Subject2,D0,0.0,200,Pattern3,0.036862848269654226
Subject2,D0,0.0,200,Pattern4,0.17343974828519407
Subject2,D0,0.0,200,Pattern5,0.12931494414785474
Subject2,D0,0.0,200,Pattern6,0.025860083766828613
Subject2,D0,0.0,200,Pattern7,0.4037502853890584
Subject2,D0,0.0,200,Pattern8,0.0039775600114543815
Subject2,D0,0.0,200,Pattern9,0.05415109008748819
Subject2,D0,0.0,200,Pattern10,0.11420283684158021
Subject2,D10,10.0,200,Pattern1,0.1609823583192339
Subject2,D10,10.0,200,Pattern2,0.0810486314065673
Subject2,D10,10.0,200,Pattern3,0.1601026552108226
Subject2,D10,10.0,200,Pattern4,0.1209927810763025
Subject2,D10,10.0,200,Pattern5,0.08237848273180902
Subject2,D10,10.0,200,Pattern6,0.04671678812241735
Subject2,D10,10.0,200,Pattern7,0.32500692113088614
Subject2,D10,10.0,200,Pattern8,0.014296297700152963
Subject2,D10,10.0,200,Pattern9,0.0480736839351743
Subject2,D10,10.0,200,Pattern10,0.0901554351558346
Subject2,D14/15,14.5,200,Pattern1,0.13883207003833717
Subject2,D14/15,14.5,200,Pattern2,0.03160816317420639
Subject2,D14/15,14.5,200,Pattern3,0.1271908648805014
Subject2,D14/15,14.5,200,Pattern4,0.17702006299723222
Subject2,D14/15,14.5,200,Pattern5,0.2024305225926116
Subject2,D14/15,14.5,200,Pattern6,0.05011929146725306
Subject2,D14/15,14.5,200,Pattern7,0.49242310553497476
Subject2,D14/15,14.5,200,Pattern8,0.011577133054394357
Subject2,D14/15,14.5,200,Pattern9,0.12173835915288343
Subject2,D14/15,14.5,200,Pattern10,0.045454737561290266
Subject2,D2,2.0,200,Pattern1,0.20646198542398098
Subject2,D2,2.0,200,Pattern2,0.061260722205452096
Subject2,D2,2.0,200,Pattern3,0.025799107875580964
Subject2,D2,2.0,200,Pattern4,0.20462869271255044
Subject2,D2,2.0,200,Pattern5,0.1255077816929452
Subject2,D2,2.0,200,Pattern6,0.034992076855625664
Subject2,D2,2.0,200,Pattern7,0.46038807951854094
Subject2,D2,2.0,200,Pattern8,0.004434566948511637
Subject2,D2,2.0,200,Pattern9,0.05489043230303394
Subject2,D2,2.0,200,Pattern10,0.07393655880305375
Subject2,D28,28.0,200,Pattern1,0.20569784815681214
Subject2,D28,28.0,200,Pattern2,0.0751604246704643
Subject2,D28,28.0,200,Pattern3,0.049809922187966545
Subject2,D28,28.0,200,Pattern4,0.13399225802124734
Subject2,D28,28.0,200,Pattern5,0.08327275248701482
Subject2,D28,28.0,200,Pattern6,0.04927638029101145
Subject2,D28,28.0,200,Pattern7,0.3984833492520839
Subject2,D28,28.0,200,Pattern8,0.04425755042005206
Subject2,D28,28.0,200,Pattern9,0.05468056868323004
Subject2,D28,28.0,200,Pattern10,0.04855491263275552
Subject2,D4,4.0,200,Pattern1,0.13708551778570702
