K,selected_n_iter,successful_seed_count,pairwise_seed_comparisons,mean_matched_loading_corr,mean_matched_top_gene_jaccard,peak_timepoint_agreement_mean,pattern_class_agreement_mean,effective_fraction_mean,degenerate_fraction_mean,within_run_pattern_redundancy_mean,within_run_pattern_redundancy_max,within_run_top_gene_jaccard_mean,pattern_mix_balance_mean,mean_eta_timepoint,max_eta_timepoint,candidate_ifn_pattern_count_mean,ifn_secondary_score,stability_core,redundancy_penalty,secondary_score,overall_score,selection_eligible,on_stability_plateau,chosen_K,activity_like_pattern_count_mean,activity_like_pattern_count_max,candidate_ifn_pattern_count_max,max_ifn_score_rho_mean,max_ifn_top_gene_overlap_top15_mean,runtime_sec_mean,low_redundancy_score,temporal_effect_score,ifn_candidate_score,activity_score,goal_aligned_score
5,8000,5,10,0.9945281703640828,1.0,1.0,1.0,1.0,0.0,0.3707112401928414,0.63651489549908,0.3843918501904033,0.0,0.0085179875447569,0.0127847902116533,0.0,0.0,0.996169719254858,0.3895369692343174,0.35,0.8878317800228469,True,True,True,0.0,0,0,0.3134435474505315,0.0,5513.230093669891,0.0,0.02256024456670191,0.0,0.0,0.3531714506525407
6,4000,5,10,0.9895727394612068,1.0,1.0,1.0,1.0,0.0,0.2571432693789367,0.6102435478069791,0.2651118797032133,0.0,0.0101878725560631,0.0259461668285518,0.0,0.1,0.9927009176228448,0.3036427201915069,0.365,0.9156259655558172,True,True,False,0.0,0,0,0.3421991985291493,1.0,3050.8026472568513,0.687114359782306,0.04578501950599318,0.0,0.0,0.4596694790365402
7,4000,5,10,0.9124289762912844,0.8750064219345148,0.8857142857142858,1.0,1.0,0.0,0.3056998053639904,0.624422983603772,0.3003378047601163,0.0,0.0148570824549806,0.0643373956991258,0.8,0.6599999999999999,0.9012022099842534,0.3378020603547729,0.409,0.8156914888600828,True,False,False,0.0,0,1,0.28978873801249116,2.6,3553.7942348480224,0.4138553999749949,0.11353079383609638,0.4,0.0,0.46020524225795717
8,6000,5,10,0.9882746541165291,0.992156862745098,1.0,1.0,1.0,0.0,0.3099938584701751,0.6162548029311476,0.3082655732011908,0.0,0.0153967946198513,0.0659650430570571,1.0,0.8,0.9894393167051,0.3399010044615552,0.47,0.9080739651435557,True,True,False,0.0,0,1,0.3372043370607186,3.0,7373.543266534805,0.3970648155968516,0.11640296630473852,0.5,0.0,0.5041440764472604
9,4000,5,10,0.9833991970355932,0.9930618401206636,1.0,1.0,1.0,0.0,0.2867309378601153,0.6162235523905737,0.2954829478980562,0.0,0.0162679339931315,0.0669369377783166,2.0,0.8,0.9862979899611144,0.3257067689877836,0.47,0.90990062081539,True,True,False,0.0,0,2,0.3643725962691672,3.0,4156.712063646317,0.5106121500091804,0.11811798721956863,1.0,0.0,0.5954197164316808
10,2000,5,10,0.975381212172658,0.989110105580694,1.0,1.0,1.0,0.0,0.2719406078899574,0.6190180947544193,0.2604949140412341,0.1,0.0540155544117748,0.4613101103253337,1.0,1.0,0.9794998801950688,0.3118729057041094,0.5499999999999999,0.9143443631986304,True,True,False,1.0,1,1,0.7546553232763198,6.0,2238.4411301612854,0.6212766731804598,0.8140351728685835,0.5,0.2777777777777778,0.7154901602857263
11,2000,5,10,0.890599414715938,0.849090286127522,0.8181818181818183,0.9454545454545455,1.0,0.0,0.2893980321666126,0.6578832859412924,0.2408765142598806,0.1272727272727272,0.0508772774955586,0.4658273602012126,1.0,1.0,0.8781466761394132,0.3244509761235409,0.5,0.8045888344961739,True,False,False,1.4,2,1,0.7366197101862594,5.0,2375.3574080944063,0.5206579134863516,0.8220063839938033,0.5,0.38888888888888884,0.6831846338038413
12,4000,5,10,0.980260316166986,0.975917546505782,0.95,1.0,1.0,0.0,0.2959481773254753,0.689436796162787,0.2572927288915508,0.0,0.0195116639880143,0.0942221957269949,2.0,0.6,0.9789574852686248,0.3373199936736052,0.4225,0.894695487482863,True,True,False,0.0,0,2,0.4492784134506721,1.0,5308.618496227265,0.4177117109934173,0.16626598825807196,1.0,0.0,0.5885450741446456
16,2000,5,10,0.9634720073219024,0.96312610448293,0.925,0.9625,1.0,0.0,0.2636262648641442,0.6830256630343621,0.2125846469962053,0.1,0.0450801786000292,0.5262605228561921,1.0,1.0,0.9633682364702106,0.3109351944381855,0.5237499999999999,0.8964409184168456,True,False,False,1.6,2,1,0.7809110876982741,5.0,3684.939074087143,0.6287779306374616,0.9286477059759888,0.5,0.4444444444444445,0.7588917802220573
20,8000,5,10,0.9415553127247562,0.8583622647142573,0.91,0.97,1.0,0.0,0.2516982466853494,0.670792613629297,0.1862700026721647,0.1,0.037337776360951,0.524215940622937,1.0,1.0,0.9165973983216064,0.297261646602967,0.5185,0.8540358220105679,True,False,False,2.0,2,1,0.7838143981904782,5.0,18114.63125810623,0.7381600041924234,0.9250398035813977,0.5,0.5555555555555556,0.7748743840910386
24,4000,5,10,0.8843303983641594,0.808074275278359,0.8583333333333332,0.9666666666666666,1.0,0.0,0.2357932364952863,0.6542934358470154,0.1980068053943254,0.0916666666666666,0.0344651258032207,0.5132592996817715,1.0,1.0,0.8614535614384191,0.2883566664959113,0.4962499999999999,0.8002287281648501,True,False,False,2.2,3,1,0.7894895105933682,5.6,11206.22524523735,0.8093957361921771,0.9057055403537599,0.5,0.6111111111111112,0.7707258816696919
28,8000,5,10,0.8810294295209479,0.7655725892408378,0.7571428571428572,0.9428571428571428,1.0,0.0,0.2283805866830177,0.6645946317902105,0.1667553095688879,0.0785714285714285,0.0324359748282576,0.5111951879067793,1.0,1.0,0.8463923774369149,0.2804602816133286,0.4542857142857143,0.784574136015107,True,False,False,2.2,3,1,0.7890498439978271,6.0,26686.087727117538,0.8725631717731817,0.902063175818565,0.5,0.6111111111111112,0.774201109699277
