,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
Pattern1,0.9999999999999999,0.13252691361348926,0.170517409721333,0.4563037792693668,0.2502920486091864,0.41730433655069904,0.5341490126926225,0.11061901876117253,0.39477843632966275,0.2644907232137551
Pattern2,0.13252691361348928,1.0,0.2664967769176074,0.15527234095445058,0.2282684616840624,-0.010228171896149031,0.06444692896821061,0.6197280187283973,0.04611574322262997,0.2062981796021791
Pattern3,0.17051740972133297,0.2664967769176074,1.0,0.1692451004915928,0.2867189228935951,0.21181412223495835,0.19544793320602163,0.44546286945202573,0.27360400206503444,0.20469437445559488
Pattern4,0.4563037792693669,0.15527234095445058,0.1692451004915928,1.0,0.20378947928261185,0.2163137756378783,0.4461671775370769,0.048831696931996495,0.3616845636656544,0.23100513384533639
Pattern5,0.2502920486091864,0.22826846168406237,0.2867189228935951,0.20378947928261185,1.0,0.32909161664418185,0.3334414224256705,0.3306340812089464,0.33423561444110284,0.3256689776539529
Pattern6,0.41730433655069904,-0.010228171896149031,0.21181412223495838,0.2163137756378783,0.32909161664418185,1.0,0.5852972835904732,0.2020726180206928,0.5034178690224452,0.2408858939900452
Pattern7,0.5341490126926226,0.06444692896821061,0.1954479332060216,0.44616717753707696,0.3334414224256705,0.5852972835904732,1.0,0.11942581278416387,0.344225784700515,0.30521427174779747
Pattern8,0.11061901876117254,0.6197280187283973,0.44546286945202573,0.0488316969319965,0.3306340812089464,0.20207261802069276,0.11942581278416388,1.0,0.19770620400401212,0.21791599808179468
Pattern9,0.39477843632966275,0.04611574322262997,0.2736040020650344,0.3616845636656544,0.33423561444110284,0.5034178690224453,0.34422578470051496,0.19770620400401212,1.0,0.20723573568016646
Pattern10,0.2644907232137551,0.20629817960217914,0.2046943744555949,0.2310051338453364,0.3256689776539529,0.24088589399004517,0.30521427174779747,0.21791599808179468,0.20723573568016646,0.9999999999999999
