,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
Pattern1,1.0,0.4492753623188406,0.13636363636363635,0.3157894736842105,0.010101010101010102,0.42857142857142855,0.4492753623188406,0.4084507042253521,0.4492753623188406,0.47058823529411764
Pattern2,0.4492753623188406,1.0,0.12359550561797752,0.20481927710843373,0.010101010101010102,0.2987012987012987,0.2987012987012987,0.5873015873015873,0.35135135135135137,0.3698630136986301
Pattern3,0.13636363636363635,0.12359550561797752,1.0,0.07526881720430108,0.02040816326530612,0.17647058823529413,0.1111111111111111,0.13636363636363635,0.13636363636363635,0.14942528735632185
Pattern4,0.3157894736842105,0.20481927710843373,0.07526881720430108,1.0,0.0,0.3333333333333333,0.28205128205128205,0.25,0.21951219512195122,0.28205128205128205
Pattern5,0.010101010101010102,0.010101010101010102,0.02040816326530612,0.0,1.0,0.030927835051546393,0.02040816326530612,0.010101010101010102,0.030927835051546393,0.010101010101010102
Pattern6,0.42857142857142855,0.2987012987012987,0.17647058823529413,0.3333333333333333,0.030927835051546393,1.0,0.4492753623188406,0.3698630136986301,0.42857142857142855,0.42857142857142855
Pattern7,0.4492753623188406,0.2987012987012987,0.1111111111111111,0.28205128205128205,0.02040816326530612,0.4492753623188406,1.0,0.3333333333333333,0.4084507042253521,0.5151515151515151
Pattern8,0.4084507042253521,0.5873015873015873,0.13636363636363635,0.25,0.010101010101010102,0.3698630136986301,0.3333333333333333,1.0,0.3888888888888889,0.3888888888888889
Pattern9,0.4492753623188406,0.35135135135135137,0.13636363636363635,0.21951219512195122,0.030927835051546393,0.42857142857142855,0.4084507042253521,0.3888888888888889,1.0,0.3888888888888889
Pattern10,0.47058823529411764,0.3698630136986301,0.14942528735632185,0.28205128205128205,0.010101010101010102,0.42857142857142855,0.5151515151515151,0.3888888888888889,0.3888888888888889,1.0
