pattern,kruskal_time_stat,kruskal_time_p,eta_timepoint,eta_broad_cell_type,pattern_class,spearman_ifn_score_rho,spearman_ifn_score_p,peak_timepoint,ifn_top_gene_overlap_top15,candidate_ifn_pattern,kruskal_time_p_adj,ifn_score_p_adj
Pattern3,2121.2949680792526,0.0,0.4540361943939827,0.1646296059157652,activity-like,0.7560066616899697,0.0,D10,6,True,0.0,0.0
Pattern5,159.29180661948786,4.520942208799169e-31,0.020907301802552004,0.15981467563481488,identity-like,-0.01173780469507917,0.41619789481656777,D14/15,0,False,2.2604711043995845e-30,0.41619789481656777
Pattern1,77.2062264439006,5.106828095297214e-14,0.019499510641738823,0.16334037970184784,identity-like,-0.07408813812673497,2.7664122783887424e-07,D6,0,False,1.2767070238243036e-13,3.073791420431936e-07
Pattern4,66.62579521204796,7.082023252017008e-12,0.009812551873166608,0.046964420038906725,identity-like,-0.08775356627574867,1.1297225190261226e-09,D14/15,0,False,1.1803372086695012e-11,1.8828708650435376e-09
Pattern10,72.40603972422805,4.816046295399042e-13,0.009410450311807523,0.9115496220048233,identity-like,-0.1747339438170736,3.2363143326964897e-34,D0,0,False,9.632092590798084e-13,1.0787714442321631e-33
Pattern9,13.73650518703309,0.0560713047725476,0.009242157672889292,0.7798608683236579,identity-like,0.2036145272334174,4.312219829417517e-46,D14/15,0,False,0.056071304772547605,2.1561099147087584e-45
Pattern2,127.86545169536278,1.7544738650738955e-24,0.006199478366038655,0.499898963394282,identity-like,-0.15085864274962363,7.82993999345655e-26,D0,0,False,5.848246216912985e-24,1.9574849983641374e-25
Pattern7,21.29679701523023,0.003354833662278345,0.005112893342515848,0.5497128932504457,identity-like,-0.08541957487838103,3.0788877199421198e-09,D14/15,0,False,0.00372759295808705,4.3984110284887424e-09
Pattern8,58.52590519184647,2.970715177355601e-10,0.003216524671523275,0.6422891745855662,identity-like,-0.1491652005341896,2.7549159426803147e-25,D14/15,0,False,4.243878824793715e-10,5.5098318853606295e-25
Pattern6,30.189217562241776,8.766260376027215e-05,0.0019435104142441378,0.16558707210450954,identity-like,0.07868283980645387,4.805772650158804e-08,D28,0,False,0.00010957825470034019,6.007215812698505e-08
