pattern,eta_timepoint,eta_broad_cell_type,pattern_class,peak_timepoint
Pattern3,0.4540361943939827,0.1646296059157652,activity-like,D10
Pattern5,0.020907301802552004,0.15981467563481488,identity-like,D14/15
Pattern1,0.019499510641738823,0.16334037970184784,identity-like,D6
Pattern4,0.009812551873166608,0.046964420038906725,identity-like,D14/15
Pattern10,0.009410450311807523,0.9115496220048233,identity-like,D0
Pattern9,0.009242157672889292,0.7798608683236579,identity-like,D14/15
Pattern2,0.006199478366038655,0.499898963394282,identity-like,D0
Pattern7,0.005112893342515848,0.5497128932504457,identity-like,D14/15
Pattern8,0.003216524671523275,0.6422891745855662,identity-like,D14/15
Pattern6,0.0019435104142441378,0.16558707210450954,identity-like,D28
