,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
FO538757.3,9.037882591655944e-06,0.036227792501449585,9.930192391038872e-06,0.0,0.09859367460012436,2.4145305360434577e-05,2.3169156975200167e-06,0.0052423193119466305,2.950004727608757e-06,0.00014637201093137264
RP11-54O7.17,2.8972663130844012e-05,0.05302716791629791,0.05884954333305359,0.00010005653166444972,0.018262065947055817,2.0423387923074188e-06,1.3127087186148856e-05,0.0024760286323726177,6.727996151312254e-06,0.00022575227194465697
HES4,9.372158160658728e-09,0.36520227789878845,0.66694575548172,0.12365436553955078,0.13274680078029633,0.0,0.0,0.011531349271535873,0.0,0.0030857909005135298
ISG15,0.10568130761384964,5.442411929834634e-05,5.737454414367676,0.3191773295402527,0.05406773462891579,0.3183066248893738,0.0,0.08148828148841858,0.07803522795438766,0.01719270832836628
RP11-54O7.11,0.00016779387078713626,0.004125806037336588,0.002288993913680315,0.0019686315208673477,0.04500818997621536,2.4756207494647242e-05,0.0004045117530040443,0.000135755559313111,1.9593238903325982e-05,0.00010474820010131225
TNFRSF18,0.10886814445257187,4.139099928579526e-06,0.0,0.1311686486005783,0.18203681707382202,2.011299329751637e-05,8.806546603068455e-09,1.9942549833729117e-09,0.06458000838756561,0.21150566637516022
TNFRSF4,0.41441288590431213,1.2776928315361147e-07,0.0011960780248045921,0.00026628581690602005,0.25267335772514343,0.09487155824899673,0.0217831339687109,9.393740896257441e-09,0.0,1.551648529130034e-05
TAS1R3,0.00021839623514097184,0.0001672496146056801,0.00013795057020615786,0.00022316044487524778,0.0004317119310144335,0.00046570555423386395,0.0001406818482792005,0.0018995397258549929,0.0001940342626767233,0.0003957591252401471
MXRA8,6.119106546975672e-05,0.0003124737413600087,9.667049744166434e-05,9.745489660417661e-05,0.0016009757528081536,0.0013369701337069273,0.009953027591109276,0.0014336606254801154,5.4643471230519935e-05,0.00026757127488963306
ATAD3C,8.22204674477689e-05,9.757131920196116e-06,2.2912943677511066e-05,0.00017044279957190156,0.055968765169382095,0.015478327870368958,0.0001284059399040416,5.6606037105666474e-05,5.5193617299664766e-05,0.00012734049232676625
C1orf233,0.00012863347365055233,9.378926188219339e-05,5.531516762857791e-06,3.324143835925497e-05,0.035491060465574265,0.00030930296634323895,4.395003634272143e-05,0.0542755052447319,0.00015088033978827298,7.02866236679256e-05
CDK11B,0.14503653347492218,0.10662060230970383,0.17079021036624908,0.11015211045742035,0.2968502640724182,0.07898666709661484,0.1567583680152893,0.16781580448150635,0.12222287058830261,0.13619427382946014
NADK,0.0,0.2931511700153351,0.4032149314880371,0.00042977480916306376,0.22812478244304657,0.03529723733663559,0.0,0.5692771077156067,0.0011589126661419868,0.10669717192649841
