pattern,rank,gene,weight
Pattern1,1,VIM,5.254761219024658
Pattern1,2,FTH1,4.132780075073242
Pattern1,3,EEF1A1,3.9142396450042725
Pattern1,4,B2M,3.843380928039551
Pattern1,5,MT-CO2,3.726581335067749
Pattern1,6,MT-CO1,3.5656731128692627
Pattern1,7,MT-ATP6,3.5020954608917236
Pattern1,8,MT-CYB,3.480910062789917
Pattern1,9,RPS12,3.4629173278808594
Pattern1,10,MT-CO3,3.4165754318237305
Pattern1,11,MALAT1,3.3967678546905518
Pattern1,12,ANXA1,3.3881051540374756
Pattern1,13,MT-ND3,3.371657133102417
Pattern1,14,TMSB4X,3.35064435005188
Pattern1,15,HLA-B,3.3124499320983887
Pattern1,16,S100A10,3.1562867164611816
Pattern1,17,TAGLN2,3.1357452869415283
Pattern1,18,GAPDH,3.122713804244995
Pattern1,19,RPS8,3.0443716049194336
Pattern1,20,PTMA,2.9841935634613037
Pattern1,21,SRGN,2.9384140968322754
Pattern1,22,S100A11,2.933749198913574
Pattern1,23,MT-ND4L,2.928673267364502
Pattern1,24,SH3BGRL3,2.8196463584899902
Pattern1,25,LMNA,2.800095796585083
Pattern1,26,EZR,2.7837109565734863
Pattern1,27,AC090498.1,2.770810604095459
Pattern1,28,RPLP0,2.7595443725585938
Pattern1,29,HLA-A,2.703228235244751
Pattern1,30,ACTB,2.621600866317749
Pattern1,31,MT-ND1,2.533141851425171
Pattern1,32,ZFP36,2.5136594772338867
Pattern1,33,S100A4,2.4232921600341797
Pattern1,34,RPS2,2.401303768157959
Pattern1,35,MYL6,2.3825461864471436
Pattern1,36,MT-ND4,2.380789041519165
Pattern1,37,RGCC,2.2801265716552734
Pattern1,38,H3F3B,2.273838520050049
Pattern1,39,TMSB10,2.229238986968994
Pattern1,40,AHNAK,2.1787405014038086
Pattern1,41,UBC,2.156054735183716
Pattern1,42,MT-ND2,2.1333651542663574
Pattern1,43,CRIP1,2.0997049808502197
Pattern1,44,CD44,2.03214693069458
Pattern1,45,PPIA,2.0260443687438965
Pattern1,46,PFN1,1.9948118925094604
Pattern1,47,MCL1,1.7565224170684814
Pattern1,48,S100A6,1.7552860975265503
Pattern1,49,CXCR4,1.7392334938049316
Pattern1,50,CD52,1.6570912599563599
Pattern2,1,FTH1,5.6112871170043945
Pattern2,2,VIM,5.0397047996521
Pattern2,3,FTL,4.9374823570251465
Pattern2,4,MALAT1,4.8067755699157715
Pattern2,5,MT-CO1,4.447625637054443
Pattern2,6,SAT1,4.392502784729004
Pattern2,7,NEAT1,4.373330593109131
Pattern2,8,S100A6,4.349888324737549
Pattern2,9,MT-CO2,4.247288227081299
Pattern2,10,MT-CO3,3.834282159805298
Pattern2,11,TYROBP,3.8009862899780273
Pattern2,12,CD74,3.7335402965545654
Pattern2,13,SRGN,3.691906452178955
Pattern2,14,EEF1A1,3.6562726497650146
Pattern2,15,S100A10,3.625084161758423
Pattern2,16,LYZ,3.5808908939361572
Pattern2,17,B2M,3.501494884490967
Pattern2,18,TMSB10,3.4648303985595703
Pattern2,19,ACTB,3.430338144302368
Pattern2,20,MT-ATP6,3.418743371963501
Pattern2,21,MT-ND4,3.387692928314209
Pattern2,22,MT-ND2,3.3747458457946777
Pattern2,23,CST3,3.351654529571533
Pattern2,24,TMSB4X,3.2947700023651123
Pattern2,25,S100A11,3.2006161212921143
Pattern2,26,MT-ND3,3.2003777027130127
Pattern2,27,RPS8,3.1993257999420166
Pattern2,28,PLAUR,3.198805570602417
Pattern2,29,RPS12,3.177549362182617
Pattern2,30,MT-ND1,3.169766664505005
Pattern2,31,S100A4,3.1479783058166504
Pattern2,32,H3F3B,3.0975546836853027
Pattern2,33,CD44,3.0006725788116455
Pattern2,34,SOD2,2.978029727935791
Pattern2,35,MT-CYB,2.95615291595459
Pattern2,36,HLA-DRA,2.9484174251556396
Pattern2,37,HLA-B,2.930833101272583
Pattern2,38,GAPDH,2.8973100185394287
Pattern2,39,PSAP,2.8879196643829346
Pattern2,40,H3F3A,2.8786427974700928
Pattern2,41,FCER1G,2.802858829498291
Pattern2,42,ANXA1,2.6757912635803223
Pattern2,43,SH3BGRL3,2.631395101547241
Pattern2,44,RPS2,2.627575397491455
Pattern2,45,OAZ1,2.5656561851501465
Pattern2,46,HLA-DRB1,2.5472826957702637
Pattern2,47,KDM6B,2.4885900020599365
Pattern2,48,NAMPT,2.4666264057159424
Pattern2,49,S100A8,2.2317845821380615
Pattern2,50,ANXA5,2.224762439727783
Pattern3,1,LY6E,6.661503791809082
Pattern3,2,ISG15,5.737454414367676
Pattern3,3,IFITM1,5.703413009643555
Pattern3,4,IFITM2,5.495784282684326
Pattern3,5,IFI6,5.1751179695129395
Pattern3,6,IFITM3,4.664856433868408
Pattern3,7,MX1,3.0952415466308594
Pattern3,8,PSME2,3.094292402267456
Pattern3,9,IRF7,2.8138694763183594
Pattern3,10,XAF1,2.8008923530578613
Pattern3,11,HLA-A,2.523637533187866
Pattern3,12,MT2A,2.5090670585632324
Pattern3,13,B2M,2.506493091583252
Pattern3,14,MYL12A,2.4915876388549805
Pattern3,15,IFI44L,2.341064691543579
Pattern3,16,CD74,2.312678575515747
Pattern3,17,PFN1,2.282705068588257
Pattern3,18,TMSB10,2.2563233375549316
Pattern3,19,UBC,2.2327768802642822
Pattern3,20,HLA-B,2.211512804031372
Pattern3,21,IFIT3,2.0960710048675537
Pattern3,22,OAS1,2.0819642543792725
Pattern3,23,TYMP,2.0646352767944336
Pattern3,24,EPSTI1,2.0462722778320312
Pattern3,25,SAT1,1.9485771656036377
Pattern3,26,STAT1,1.888747215270996
Pattern3,27,ACTB,1.777903437614441
Pattern3,28,PLSCR1,1.7270100116729736
Pattern3,29,TMSB4X,1.719273328781128
Pattern3,30,EMP3,1.670314908027649
Pattern3,31,MX2,1.6293461322784424
Pattern3,32,H3F3B,1.6068896055221558
Pattern3,33,IFIT1,1.6005030870437622
Pattern3,34,GBP1,1.5368733406066895
Pattern3,35,RSAD2,1.4657459259033203
Pattern3,36,PLAC8,1.4375181198120117
Pattern3,37,TNFSF10,1.414244532585144
Pattern3,38,LAP3,1.3938299417495728
Pattern3,39,CYBA,1.3936864137649536
