trace_index,chisq,atomsA,atomsP
1,149291712.0,10777,16306
2,130991288.0,16064,22160
3,127420136.0,19041,24914
4,125778240.0,21238,27187
5,124909936.0,22749,29093
6,124471912.0,23721,30547
7,124255776.0,24648,31898
8,124130048.0,25610,32914
9,124033752.0,26189,33759
10,124002376.0,26884,34439
11,123974496.0,27260,34814
12,123964440.0,27448,35118
13,123969560.0,27526,35209
14,123964848.0,27713,35468
15,123958416.0,27815,35511
16,123960040.0,27572,35578
17,123958760.0,27737,35625
18,123952640.0,27789,35683
19,123962448.0,27976,35569
20,123953216.0,27885,35709
21,123958128.0,27884,35734
22,123957160.0,27775,35861
23,123958912.0,27764,35910
24,123954152.0,27792,35791
25,123958000.0,27912,35934
26,123956272.0,27780,35860
27,123947936.0,27717,36029
28,123959040.0,27977,35981
29,123965784.0,27830,36036
30,123954064.0,27806,36147
31,123959360.0,27789,36064
32,123956000.0,27980,36226
33,123953088.0,28019,36222
34,123954048.0,28151,36239
35,123958248.0,28033,36221
36,123961952.0,27943,36203
37,123957648.0,27877,36212
38,123956136.0,27936,36275
39,123962672.0,27915,36162
40,123958304.0,27950,36073
