"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"FO538757.3",9.03788259165594e-06,0.0362277925014496,9.93019239103887e-06,0,0.0985936746001244,2.41453053604346e-05,2.31691569752002e-06,0.00524231931194663,2.95000472760876e-06,0.000146372010931373
"RP11-54O7.17",2.8972663130844e-05,0.0530271679162979,0.0588495433330536,0.00010005653166445,0.0182620659470558,2.04233879230742e-06,1.31270871861489e-05,0.00247602863237262,6.72799615131225e-06,0.000225752271944657
"HES4",9.37215816065873e-09,0.365202277898788,0.66694575548172,0.123654365539551,0.132746800780296,0,0,0.0115313492715359,0,0.00308579090051353
"ISG15",0.10568130761385,5.44241192983463e-05,5.73745441436768,0.319177329540253,0.0540677346289158,0.318306624889374,0,0.0814882814884186,0.0780352279543877,0.0171927083283663
"RP11-54O7.11",0.000167793870787136,0.00412580603733659,0.00228899391368032,0.00196863152086735,0.0450081899762154,2.47562074946472e-05,0.000404511753004044,0.000135755559313111,1.9593238903326e-05,0.000104748200101312
"TNFRSF18",0.108868144452572,4.13909992857953e-06,0,0.131168648600578,0.182036817073822,2.01129932975164e-05,8.80654660306845e-09,1.99425498337291e-09,0.0645800083875656,0.21150566637516
"TNFRSF4",0.414412885904312,1.27769283153611e-07,0.00119607802480459,0.00026628581690602,0.252673357725143,0.0948715582489967,0.0217831339687109,9.39374089625744e-09,0,1.55164852913003e-05
"TAS1R3",0.000218396235140972,0.00016724961460568,0.000137950570206158,0.000223160444875248,0.000431711931014434,0.000465705554233864,0.0001406818482792,0.00189953972585499,0.000194034262676723,0.000395759125240147
"MXRA8",6.11910654697567e-05,0.000312473741360009,9.66704974416643e-05,9.74548966041766e-05,0.00160097575280815,0.00133697013370693,0.00995302759110928,0.00143366062548012,5.46434712305199e-05,0.000267571274889633
"ATAD3C",8.22204674477689e-05,9.75713192019612e-06,2.29129436775111e-05,0.000170442799571902,0.0559687651693821,0.015478327870369,0.000128405939904042,5.66060371056665e-05,5.51936172996648e-05,0.000127340492326766
"C1orf233",0.000128633473650552,9.37892618821934e-05,5.53151676285779e-06,3.3241438359255e-05,0.0354910604655743,0.000309302966343239,4.39500363427214e-05,0.0542755052447319,0.000150880339788273,7.02866236679256e-05
"CDK11B",0.145036533474922,0.106620602309704,0.170790210366249,0.11015211045742,0.296850264072418,0.0789866670966148,0.156758368015289,0.167815804481506,0.122222870588303,0.13619427382946
"NADK",0,0.293151170015335,0.403214931488037,0.000429774809163064,0.228124782443047,0.0352972373366356,0,0.569277107715607,0.00115891266614199,0.106697171926498
"RP5-892K4.1",0.000183784432010725,0.0017222510650754,7.21325632184744e-05,0.000144991223351099,0.000657245749607682,8.40030261315405e-05,3.48623470927123e-05,0.000836500199511647,6.27002809778787e-05,0.00013350194785744
"RP3-395M20.12",1.96354608306137e-06,0.166242659091949,0.155381411314011,0.0969991534948349,0.216897800564766,0.115887254476547,0.000333969481289387,0.199832394719124,0.0860912278294563,0.0273186340928078
"TTC34",0.000241606045165099,0.00161445315461606,4.11882501794025e-05,0.000181432027602568,0.00215992983430624,0.00119945546612144,0.000506401935126632,0.00387753616087139,2.99121220450616e-05,0.000324500055285171
"PRDM16",0.000124832091387361,0.000239693443290889,5.42844172741752e-05,8.24412709334865e-05,0.000148552499013022,0.000145681784488261,7.52566265873611e-05,0.000140043892315589,2.89765630441252e-05,0.000117746734758839
"SMIM1",3.94416638300754e-05,0.000118764299259055,0.000979218166321516,1.19203386930167e-05,0.0884150117635727,4.42255332018249e-05,0.0171360820531845,0.027904050424695,5.46849296370056e-05,0.000734509143512696
"AJAP1",0.000197851593839005,0.00026602071011439,4.16111797676422e-05,6.4157327869907e-05,0.0132145537063479,2.47876650973922e-05,0.000184355201781727,0.000125960374134593,4.67787367597339e-06,0.00101578421890736
"RNF207",0.00179578131064773,6.89737207721919e-05,0.000372083013644442,0.000118751275294926,0.0321599170565605,0.00158705736976117,0.000116030074423179,0.000594204349908978,0.000156989874085411,0.000281885586446151
"ACOT7",0.0655350759625435,1.71288193087094e-05,0.000468979153083637,0,0.270708680152893,1.95122451529528e-09,7.091472070897e-06,1.83110330453928e-06,0.0272893738001585,4.89783724333392e-06
"TNFRSF25",0.393438935279846,4.11258263000036e-08,3.23576955452154e-06,0.000255386636126786,0.252558559179306,0.222115740180016,0.301342844963074,0,0,0
"NOL9",0.0633553043007851,0.00294289691373706,8.16590272734175e-07,0.0328364297747612,0.317193150520325,0.0693931058049202,0.110369361937046,0.0503855161368847,0.000182873307494447,0.0517444610595703
"KLHL21",0.0944970771670341,0.499405086040497,0,0.173021793365479,0.180281817913055,0.0354755409061909,4.01448778575286e-05,2.11653173209925e-06,0.0001714781683404,0.0124440398067236
