"pattern","rank","gene","weight"
"Pattern1",1,"VIM",5.25476121902466
"Pattern1",2,"FTH1",4.13278007507324
"Pattern1",3,"EEF1A1",3.91423964500427
"Pattern1",4,"B2M",3.84338092803955
"Pattern1",5,"MT-CO2",3.72658133506775
"Pattern1",6,"MT-CO1",3.56567311286926
"Pattern1",7,"MT-ATP6",3.50209546089172
"Pattern1",8,"MT-CYB",3.48091006278992
"Pattern1",9,"RPS12",3.46291732788086
"Pattern1",10,"MT-CO3",3.41657543182373
"Pattern1",11,"MALAT1",3.39676785469055
"Pattern1",12,"ANXA1",3.38810515403748
"Pattern1",13,"MT-ND3",3.37165713310242
"Pattern1",14,"TMSB4X",3.35064435005188
"Pattern1",15,"HLA-B",3.31244993209839
"Pattern1",16,"S100A10",3.15628671646118
"Pattern1",17,"TAGLN2",3.13574528694153
"Pattern1",18,"GAPDH",3.122713804245
"Pattern1",19,"RPS8",3.04437160491943
"Pattern1",20,"PTMA",2.9841935634613
"Pattern1",21,"SRGN",2.93841409683228
"Pattern1",22,"S100A11",2.93374919891357
"Pattern1",23,"MT-ND4L",2.9286732673645
"Pattern1",24,"SH3BGRL3",2.81964635848999
"Pattern1",25,"LMNA",2.80009579658508
"Pattern1",26,"EZR",2.78371095657349
"Pattern1",27,"AC090498.1",2.77081060409546
"Pattern1",28,"RPLP0",2.75954437255859
"Pattern1",29,"HLA-A",2.70322823524475
"Pattern1",30,"ACTB",2.62160086631775
"Pattern1",31,"MT-ND1",2.53314185142517
"Pattern1",32,"ZFP36",2.51365947723389
"Pattern1",33,"S100A4",2.42329216003418
"Pattern1",34,"RPS2",2.40130376815796
"Pattern1",35,"MYL6",2.38254618644714
"Pattern1",36,"MT-ND4",2.38078904151917
"Pattern1",37,"RGCC",2.28012657165527
"Pattern1",38,"H3F3B",2.27383852005005
"Pattern1",39,"TMSB10",2.22923898696899
"Pattern1",40,"AHNAK",2.17874050140381
"Pattern1",41,"UBC",2.15605473518372
"Pattern1",42,"MT-ND2",2.13336515426636
"Pattern1",43,"CRIP1",2.09970498085022
"Pattern1",44,"CD44",2.03214693069458
"Pattern1",45,"PPIA",2.0260443687439
"Pattern1",46,"PFN1",1.99481189250946
"Pattern1",47,"MCL1",1.75652241706848
"Pattern1",48,"S100A6",1.75528609752655
"Pattern1",49,"CXCR4",1.73923349380493
"Pattern1",50,"CD52",1.65709125995636
"Pattern2",1,"FTH1",5.61128711700439
"Pattern2",2,"VIM",5.0397047996521
"Pattern2",3,"FTL",4.93748235702515
"Pattern2",4,"MALAT1",4.80677556991577
"Pattern2",5,"MT-CO1",4.44762563705444
"Pattern2",6,"SAT1",4.392502784729
"Pattern2",7,"NEAT1",4.37333059310913
"Pattern2",8,"S100A6",4.34988832473755
"Pattern2",9,"MT-CO2",4.2472882270813
"Pattern2",10,"MT-CO3",3.8342821598053
"Pattern2",11,"TYROBP",3.80098628997803
"Pattern2",12,"CD74",3.73354029655457
"Pattern2",13,"SRGN",3.69190645217896
"Pattern2",14,"EEF1A1",3.65627264976501
"Pattern2",15,"S100A10",3.62508416175842
"Pattern2",16,"LYZ",3.58089089393616
"Pattern2",17,"B2M",3.50149488449097
"Pattern2",18,"TMSB10",3.46483039855957
"Pattern2",19,"ACTB",3.43033814430237
"Pattern2",20,"MT-ATP6",3.4187433719635
"Pattern2",21,"MT-ND4",3.38769292831421
"Pattern2",22,"MT-ND2",3.37474584579468
"Pattern2",23,"CST3",3.35165452957153
"Pattern2",24,"TMSB4X",3.29477000236511
"Pattern2",25,"S100A11",3.20061612129211
"Pattern2",26,"MT-ND3",3.20037770271301
"Pattern2",27,"RPS8",3.19932579994202
"Pattern2",28,"PLAUR",3.19880557060242
"Pattern2",29,"RPS12",3.17754936218262
"Pattern2",30,"MT-ND1",3.169766664505
"Pattern2",31,"S100A4",3.14797830581665
"Pattern2",32,"H3F3B",3.0975546836853
"Pattern2",33,"CD44",3.00067257881165
"Pattern2",34,"SOD2",2.97802972793579
"Pattern2",35,"MT-CYB",2.95615291595459
"Pattern2",36,"HLA-DRA",2.94841742515564
"Pattern2",37,"HLA-B",2.93083310127258
"Pattern2",38,"GAPDH",2.89731001853943
"Pattern2",39,"PSAP",2.88791966438293
"Pattern2",40,"H3F3A",2.87864279747009
"Pattern2",41,"FCER1G",2.80285882949829
"Pattern2",42,"ANXA1",2.67579126358032
"Pattern2",43,"SH3BGRL3",2.63139510154724
"Pattern2",44,"RPS2",2.62757539749146
"Pattern2",45,"OAZ1",2.56565618515015
"Pattern2",46,"HLA-DRB1",2.54728269577026
"Pattern2",47,"KDM6B",2.48859000205994
"Pattern2",48,"NAMPT",2.46662640571594
"Pattern2",49,"S100A8",2.23178458213806
"Pattern2",50,"ANXA5",2.22476243972778
"Pattern3",1,"LY6E",6.66150379180908
"Pattern3",2,"ISG15",5.73745441436768
"Pattern3",3,"IFITM1",5.70341300964355
"Pattern3",4,"IFITM2",5.49578428268433
"Pattern3",5,"IFI6",5.17511796951294
"Pattern3",6,"IFITM3",4.66485643386841
"Pattern3",7,"MX1",3.09524154663086
"Pattern3",8,"PSME2",3.09429240226746
"Pattern3",9,"IRF7",2.81386947631836
"Pattern3",10,"XAF1",2.80089235305786
"Pattern3",11,"HLA-A",2.52363753318787
"Pattern3",12,"MT2A",2.50906705856323
"Pattern3",13,"B2M",2.50649309158325
"Pattern3",14,"MYL12A",2.49158763885498
"Pattern3",15,"IFI44L",2.34106469154358
"Pattern3",16,"CD74",2.31267857551575
"Pattern3",17,"PFN1",2.28270506858826
"Pattern3",18,"TMSB10",2.25632333755493
"Pattern3",19,"UBC",2.23277688026428
"Pattern3",20,"HLA-B",2.21151280403137
"Pattern3",21,"IFIT3",2.09607100486755
"Pattern3",22,"OAS1",2.08196425437927
"Pattern3",23,"TYMP",2.06463527679443
"Pattern3",24,"EPSTI1",2.04627227783203
"Pattern3",25,"SAT1",1.94857716560364
"Pattern3",26,"STAT1",1.888747215271
"Pattern3",27,"ACTB",1.77790343761444
"Pattern3",28,"PLSCR1",1.72701001167297
"Pattern3",29,"TMSB4X",1.71927332878113
"Pattern3",30,"EMP3",1.67031490802765
"Pattern3",31,"MX2",1.62934613227844
"Pattern3",32,"H3F3B",1.60688960552216
"Pattern3",33,"IFIT1",1.60050308704376
"Pattern3",34,"GBP1",1.53687334060669
"Pattern3",35,"RSAD2",1.46574592590332
"Pattern3",36,"PLAC8",1.43751811981201
"Pattern3",37,"TNFSF10",1.41424453258514
"Pattern3",38,"LAP3",1.39382994174957
"Pattern3",39,"CYBA",1.39368641376495
"Pattern3",40,"ITM2B",1.32548999786377
"Pattern3",41,"IFIT2",1.32230663299561
"Pattern3",42,"PTMA",1.23298704624176
"Pattern3",43,"ARPC3",1.23008024692535
"Pattern3",44,"S100A6",1.21709585189819
"Pattern3",45,"OAZ1",1.20548021793365
"Pattern3",46,"OAS3",1.19400954246521
"Pattern3",47,"OASL",1.18576490879059
"Pattern3",48,"GBP4",1.11722314357758
"Pattern3",49,"S100A11",1.11567640304565
"Pattern3",50,"CORO1A",1.10619628429413
"Pattern4",1,"TNFAIP3",4.19980096817017
"Pattern4",2,"H3F3B",4.12069368362427
"Pattern4",3,"FTH1",3.8977370262146
"Pattern4",4,"MALAT1",3.6530179977417
"Pattern4",5,"NFKBIA",3.54527187347412
"Pattern4",6,"SRGN",3.40773487091064
"Pattern4",7,"ZFP36",3.40403032302856
"Pattern4",8,"PTMA",3.30703973770142
"Pattern4",9,"NR4A2",3.0380482673645
"Pattern4",10,"MYADM",3.01462078094482
"Pattern4",11,"MT-CO1",2.96138405799866
"Pattern4",12,"EEF1A1",2.95735931396484
"Pattern4",13,"REL",2.91007876396179
"Pattern4",14,"TSC22D3",2.86088824272156
"Pattern4",15,"CREM",2.79615378379822
"Pattern4",16,"JUNB",2.76875162124634
"Pattern4",17,"KDM6B",2.75163316726685
"Pattern4",18,"MCL1",2.7405161857605
"Pattern4",19,"HLA-B",2.72818541526794
"Pattern4",20,"B2M",2.71766972541809
"Pattern4",21,"RPS12",2.55559992790222
"Pattern4",22,"CD69",2.48105311393738
"Pattern4",23,"HLA-A",2.39527821540833
"Pattern4",24,"DUSP2",2.36777448654175
"Pattern4",25,"CXCR4",2.27242565155029
"Pattern4",26,"MT-ATP6",2.27011585235596
"Pattern4",27,"FOSB",2.21999311447144
"Pattern4",28,"DUSP1",2.20228409767151
"Pattern4",29,"UBB",2.15061736106873
"Pattern4",30,"UBC",2.11151385307312
"Pattern4",31,"KLF6",2.09228849411011
"Pattern4",32,"MT-CO2",2.06141114234924
"Pattern4",33,"MT-ND3",2.03283834457397
"Pattern4",34,"AC090498.1",2.00882196426392
"Pattern4",35,"ZFP36L2",2.0061616897583
"Pattern4",36,"RPS8",2.00241661071777
"Pattern4",37,"MT-CO3",1.99403655529022
"Pattern4",38,"JUND",1.98253297805786
"Pattern4",39,"MT-CYB",1.97375214099884
"Pattern4",40,"FOS",1.96516358852386
"Pattern4",41,"ADGRE5",1.94606637954712
"Pattern4",42,"DNAJA1",1.9307199716568
"Pattern4",43,"PNRC1",1.90624523162842
"Pattern4",44,"MT-ND4L",1.8726110458374
"Pattern4",45,"MTRNR2L12",1.86878633499146
"Pattern4",46,"SELK",1.85688173770905
"Pattern4",47,"SQSTM1",1.79317569732666
"Pattern4",48,"PPP1R15A",1.79095470905304
"Pattern4",49,"TUBA4A",1.73469698429108
"Pattern4",50,"ACTB",1.7233304977417
"Pattern5",1,"ACTG1",0.989261448383331
"Pattern5",2,"GAPDH",0.729728579521179
"Pattern5",3,"LDHB",0.729300916194916
"Pattern5",4,"ARPC1B",0.671676576137543
"Pattern5",5,"COX5A",0.660636425018311
"Pattern5",6,"C1QBP",0.65518844127655
"Pattern5",7,"NAP1L1",0.634411036968231
"Pattern5",8,"ATP5G3",0.630224823951721
"Pattern5",9,"PPIB",0.629380762577057
"Pattern5",10,"H2AFY",0.612305521965027
"Pattern5",11,"COX8A",0.610576272010803
"Pattern5",12,"SET",0.599003851413727
"Pattern5",13,"TXN",0.597310900688171
"Pattern5",14,"IDH2",0.594408869743347
"Pattern5",15,"UCP2",0.593502998352051
"Pattern5",16,"OSTC",0.593440592288971
"Pattern5",17,"MIF",0.59256774187088
"Pattern5",18,"CLIC1",0.583944916725159
"Pattern5",19,"MZT2B",0.582798719406128
"Pattern5",20,"PPM1G",0.571595907211304
"Pattern5",21,"PDIA6",0.569710791110992
"Pattern5",22,"DUT",0.568472266197205
"Pattern5",23,"SNX3",0.567800760269165
"Pattern5",24,"NDUFB3",0.56578516960144
"Pattern5",25,"GNG5",0.565521717071533
"Pattern5",26,"MZT2A",0.563778758049011
"Pattern5",27,"AP2S1",0.560429632663727
"Pattern5",28,"FKBP1A",0.560256719589233
"Pattern5",29,"SLC25A39",0.556665122509003
"Pattern5",30,"NHP2",0.555774033069611
"Pattern5",31,"ARPC3",0.553280174732208
"Pattern5",32,"RANBP1",0.553093552589417
"Pattern5",33,"SNRPE",0.549648761749268
"Pattern5",34,"DDOST",0.548023641109467
"Pattern5",35,"NUTF2",0.546699464321136
"Pattern5",36,"HNRNPUL1",0.545217633247375
"Pattern5",37,"ATP5J2",0.544884622097015
"Pattern5",38,"LSP1",0.543215692043304
"Pattern5",39,"FDPS",0.542816817760468
"Pattern5",40,"SEC61G",0.541668713092804
"Pattern5",41,"RALA",0.541333913803101
"Pattern5",42,"CORO1A",0.537064135074615
"Pattern5",43,"CAT",0.534318327903748
"Pattern5",44,"TALDO1",0.533903956413269
"Pattern5",45,"PDCD5",0.533025622367859
"Pattern5",46,"PPA1",0.532293200492859
"Pattern5",47,"DECR1",0.531840980052948
"Pattern5",48,"MRPL52",0.531589806079865
"Pattern5",49,"SNRPD1",0.530969321727753
"Pattern5",50,"SLC25A5",0.529872596263885
"Pattern6",1,"EEF1A1",4.68198442459106
"Pattern6",2,"MTRNR2L8",4.41478681564331
"Pattern6",3,"RPS12",4.24990892410278
"Pattern6",4,"CD52",4.03007030487061
"Pattern6",5,"B2M",3.97076559066772
"Pattern6",6,"MALAT1",3.91864490509033
"Pattern6",7,"ACTB",3.73005628585815
"Pattern6",8,"TMSB4X",3.67424964904785
"Pattern6",9,"RPS8",3.66760182380676
"Pattern6",10,"HLA-B",3.60049033164978
"Pattern6",11,"MT-ATP6",3.49035429954529
"Pattern6",12,"JUNB",3.4242627620697
"Pattern6",13,"HLA-A",3.40175747871399
"Pattern6",14,"TMSB10",3.36170125007629
"Pattern6",15,"MT-CO2",3.34763860702515
"Pattern6",16,"RPLP0",3.26564383506775
"Pattern6",17,"RPS2",3.2282235622406
"Pattern6",18,"MT-CO1",3.20061993598938
"Pattern6",19,"IL32",3.18102240562439
"Pattern6",20,"MT-CYB",3.16288709640503
"Pattern6",21,"MT-ND3",3.15685248374939
"Pattern6",22,"FOS",3.04436087608337
"Pattern6",23,"MT-CO3",3.00524663925171
"Pattern6",24,"JUN",2.94318437576294
"Pattern6",25,"MT-ND4L",2.89919328689575
"Pattern6",26,"DUSP1",2.87139272689819
"Pattern6",27,"MTRNR2L12",2.82243824005127
"Pattern6",28,"TXNIP",2.7354211807251
"Pattern6",29,"PFN1",2.6342191696167
"Pattern6",30,"MYL12A",2.59104990959167
"Pattern6",31,"CD3E",2.54178929328918
"Pattern6",32,"MT-ND1",2.48976683616638
"Pattern6",33,"MT-ND4",2.37924957275391
"Pattern6",34,"FTL",2.34387588500977
"Pattern6",35,"CORO1A",2.14560341835022
"Pattern6",36,"PTMA",2.12305521965027
"Pattern6",37,"ACTG1",2.08586549758911
"Pattern6",38,"TSC22D3",2.07884693145752
"Pattern6",39,"S100A6",1.92392885684967
"Pattern6",40,"IFITM1",1.90603506565094
"Pattern6",41,"ZFP36L2",1.86219608783722
"Pattern6",42,"ITM2B",1.85202288627625
"Pattern6",43,"LDHB",1.82324171066284
"Pattern6",44,"H3F3B",1.74226546287537
"Pattern6",45,"SH3BGRL3",1.72363793849945
"Pattern6",46,"UBC",1.71735274791718
"Pattern6",47,"PPIA",1.64830565452576
"Pattern6",48,"S100A4",1.6231472492218
"Pattern6",49,"CD3D",1.59769904613495
"Pattern6",50,"KLF6",1.57840812206268
"Pattern7",1,"MALAT1",5.868567943573
"Pattern7",2,"EEF1A1",5.79924631118774
"Pattern7",3,"RPS12",5.49852848052979
"Pattern7",4,"RPS8",5.03087282180786
"Pattern7",5,"MT-CO2",4.68273019790649
"Pattern7",6,"B2M",4.42562389373779
"Pattern7",7,"MT-CO3",4.36262273788452
"Pattern7",8,"MT-ATP6",4.29405355453491
"Pattern7",9,"MT-CO1",4.17608261108398
"Pattern7",10,"MT-ND3",4.16217517852783
"Pattern7",11,"MT-ND4L",3.98302412033081
"Pattern7",12,"RPLP0",3.86383605003357
"Pattern7",13,"TMSB4X",3.85318446159363
"Pattern7",14,"MT-CYB",3.80605411529541
"Pattern7",15,"RPS2",3.78601026535034
"Pattern7",16,"TMSB10",3.67510557174683
"Pattern7",17,"AC090498.1",3.45809507369995
"Pattern7",18,"FTH1",3.44514584541321
"Pattern7",19,"PTMA",3.39766192436218
"Pattern7",20,"HLA-B",3.36830735206604
"Pattern7",21,"HLA-A",3.12411761283875
"Pattern7",22,"MT-ND1",3.04785966873169
"Pattern7",23,"CCR7",2.84018874168396
"Pattern7",24,"MT-ND4",2.79694938659668
"Pattern7",25,"VIM",2.70796346664429
"Pattern7",26,"H3F3A",2.48951578140259
"Pattern7",27,"MT-ND2",2.26571726799011
"Pattern7",28,"IL7R",2.24034714698792
"Pattern7",29,"LTB",2.14964056015015
"Pattern7",30,"PPIA",2.13371515274048
"Pattern7",31,"FTL",2.03449177742004
"Pattern7",32,"ACTB",2.01002717018127
"Pattern7",33,"PNRC1",1.92107748985291
"Pattern7",34,"TAGLN2",1.8764568567276
"Pattern7",35,"LDHB",1.84545886516571
"Pattern7",36,"CD3E",1.80672299861908
"Pattern7",37,"CD7",1.79837572574615
"Pattern7",38,"GIMAP7",1.73303544521332
"Pattern7",39,"MTRNR2L12",1.64606404304504
"Pattern7",40,"CD55",1.53958821296692
"Pattern7",41,"IFITM1",1.53788757324219
"Pattern7",42,"ABLIM1",1.46015191078186
"Pattern7",43,"ACTG1",1.41723561286926
"Pattern7",44,"HMGB1",1.4064474105835
"Pattern7",45,"UBC",1.37129938602448
"Pattern7",46,"RGCC",1.34126317501068
"Pattern7",47,"SELL",1.31784522533417
"Pattern7",48,"CD37",1.30885410308838
"Pattern7",49,"NFKBIA",1.28570425510406
"Pattern7",50,"PFN1",1.26291787624359
"Pattern8",1,"FTL",6.13857460021973
"Pattern8",2,"CST3",4.99014043807983
"Pattern8",3,"FTH1",4.78966760635376
"Pattern8",4,"ACTB",4.57126617431641
"Pattern8",5,"TMSB4X",4.53250026702881
"Pattern8",6,"TYROBP",4.47439622879028
"Pattern8",7,"EEF1A1",4.44331836700439
"Pattern8",8,"S100A6",4.40705394744873
"Pattern8",9,"MT-CO1",4.40543031692505
"Pattern8",10,"S100A4",4.37898826599121
"Pattern8",11,"LYZ",4.35382413864136
"Pattern8",12,"MT-CO2",4.30520248413086
"Pattern8",13,"TMSB10",4.09006261825562
"Pattern8",14,"MALAT1",4.00492668151855
"Pattern8",15,"CD74",3.95709204673767
"Pattern8",16,"B2M",3.91609144210815
"Pattern8",17,"MT-ND3",3.91030693054199
"Pattern8",18,"MT-CO3",3.84284257888794
"Pattern8",19,"FOS",3.8032488822937
"Pattern8",20,"HLA-B",3.7351336479187
"Pattern8",21,"MT-ATP6",3.73373746871948
"Pattern8",22,"MT-ND1",3.65408420562744
"Pattern8",23,"SH3BGRL3",3.58095908164978
"Pattern8",24,"PSAP",3.57226085662842
"Pattern8",25,"RPS12",3.51302933692932
"Pattern8",26,"RPS8",3.42064094543457
"Pattern8",27,"CTSS",3.38268208503723
"Pattern8",28,"AIF1",3.31967949867249
"Pattern8",29,"GAPDH",3.299968957901
"Pattern8",30,"OAZ1",3.26204061508179
"Pattern8",31,"MT-ND4",3.24736261367798
"Pattern8",32,"JUNB",3.20130014419556
"Pattern8",33,"HLA-A",3.19880342483521
"Pattern8",34,"COTL1",3.17562174797058
"Pattern8",35,"FCN1",3.17023587226868
"Pattern8",36,"H3F3A",3.16482615470886
"Pattern8",37,"DUSP1",3.12280201911926
"Pattern8",38,"MT-ND2",3.10955739021301
"Pattern8",39,"NEAT1",3.06632709503174
"Pattern8",40,"S100A11",3.03960943222046
"Pattern8",41,"S100A9",2.96245455741882
"Pattern8",42,"VIM",2.91440176963806
"Pattern8",43,"MT-CYB",2.84341740608215
"Pattern8",44,"SRGN",2.81041479110718
"Pattern8",45,"FCER1G",2.78901386260986
"Pattern8",46,"HLA-DRB1",2.76895523071289
"Pattern8",47,"ITGB2",2.73747563362122
"Pattern8",48,"PTMA",2.72622609138489
"Pattern8",49,"GPX1",2.72067284584045
"Pattern8",50,"PFN1",2.71999955177307
"Pattern9",1,"NKG7",6.70993947982788
"Pattern9",2,"B2M",4.39161539077759
"Pattern9",3,"MT-CO2",4.20426654815674
"Pattern9",4,"CST7",4.1281886100769
"Pattern9",5,"CCL5",4.05126667022705
"Pattern9",6,"MALAT1",3.92842364311218
"Pattern9",7,"MT-CO1",3.8451611995697
"Pattern9",8,"TMSB4X",3.74409937858582
"Pattern9",9,"HLA-B",3.71793031692505
"Pattern9",10,"EEF1A1",3.71275901794434
"Pattern9",11,"MT-ATP6",3.68977737426758
"Pattern9",12,"HLA-A",3.50144672393799
"Pattern9",13,"MT-CO3",3.48822808265686
"Pattern9",14,"ACTB",3.32923936843872
"Pattern9",15,"PFN1",3.23732805252075
"Pattern9",16,"MT-ND4L",3.15569925308228
"Pattern9",17,"TMSB10",3.15513277053833
"Pattern9",18,"MT-ND3",3.1299045085907
"Pattern9",19,"RPS12",3.1262149810791
"Pattern9",20,"SH3BGRL3",3.0751359462738
"Pattern9",21,"GNLY",2.97047138214111
"Pattern9",22,"IFITM1",2.84245228767395
"Pattern9",23,"MT-CYB",2.82742238044739
"Pattern9",24,"CTSW",2.82608485221863
"Pattern9",25,"HCST",2.75196719169617
"Pattern9",26,"GZMA",2.71475625038147
"Pattern9",27,"RPS8",2.67906713485718
"Pattern9",28,"S100A4",2.59421706199646
"Pattern9",29,"MT-ND1",2.48431277275085
"Pattern9",30,"PRF1",2.38035941123962
"Pattern9",31,"PPIA",2.20711803436279
"Pattern9",32,"MT-ND4",2.19403004646301
"Pattern9",33,"IFITM2",2.17402148246765
"Pattern9",34,"FTL",2.13147902488708
"Pattern9",35,"SRGN",2.11259055137634
"Pattern9",36,"GZMB",2.09426426887512
"Pattern9",37,"MYL6",2.0876190662384
"Pattern9",38,"PTMA",2.08672785758972
"Pattern9",39,"H3F3A",2.03918027877808
"Pattern9",40,"RPLP0",2.02975487709045
"Pattern9",41,"RPS2",1.96875596046448
"Pattern9",42,"CYBA",1.95961046218872
"Pattern9",43,"GZMM",1.91337454319
"Pattern9",44,"GZMH",1.85584998130798
"Pattern9",45,"H3F3B",1.78655123710632
"Pattern9",46,"ITGB2",1.74592864513397
"Pattern9",47,"MT-ND2",1.74240303039551
"Pattern9",48,"GAPDH",1.71266007423401
"Pattern9",49,"ACTG1",1.70171296596527
"Pattern9",50,"LSP1",1.61224770545959
"Pattern10",1,"CD74",7.79556655883789
