"trace_index","chisq","atomsA","atomsP"
1,149291712,10777,16306
2,130991288,16064,22160
3,127420136,19041,24914
4,125778240,21238,27187
5,124909936,22749,29093
6,124471912,23721,30547
7,124255776,24648,31898
8,124130048,25610,32914
9,124033752,26189,33759
10,124002376,26884,34439
11,123974496,27260,34814
12,123964440,27448,35118
13,123969560,27526,35209
14,123964848,27713,35468
15,123958416,27815,35511
16,123960040,27572,35578
17,123958760,27737,35625
18,123952640,27789,35683
19,123962448,27976,35569
20,123953216,27885,35709
21,123958128,27884,35734
22,123957160,27775,35861
23,123958912,27764,35910
24,123954152,27792,35791
25,123958000,27912,35934
26,123956272,27780,35860
27,123947936,27717,36029
28,123959040,27977,35981
29,123965784,27830,36036
30,123954064,27806,36147
31,123959360,27789,36064
32,123956000,27980,36226
33,123953088,28019,36222
34,123954048,28151,36239
35,123958248,28033,36221
36,123961952,27943,36203
37,123957648,27877,36212
38,123956136,27936,36275
39,123962672,27915,36162
40,123958304,27950,36073
